,Unnamed: 0,Created_At,Tweets,Clean_Data,Tweet_Normal,Tanpa_StopWords,Stemming,Bobot,Label,Sentimen
29,29,2021-12-27 04:32:22+00:00,"@shopeefood_id min kenapa ya voucher 100% saya gabisa dipake, kaya tiba tiba ilang gitu aja??",id min kenapa ya voucher saya gabisa dipake kaya tiba tiba ilang gitu aja,id minimal kenapa ya voucher saya tidak bisa dipakai seperti tiba tiba ilang begitu aja,id minimal voucher dipakai ilang,"['id', 'minimal', 'voucher', 'pakai', 'ilang']",-5,negative,0.0
30,30,2021-12-27 04:27:16+00:00,Shoppe food knapa ongkirnya mahal bgt ya skarang @shopeefood_id,shoppe food knapa ongkirnya mahal bgt ya skarang id,shoppe food kenapa ongkirnya mahal begitu ya sekarang id,shoppe food ongkirnya mahal id,"['shoppe', 'food', 'ongkirnya', 'mahal', 'id']",1,positive,2.0
31,31,2021-12-27 04:25:21+00:00,@taa_vitaa @pikenke10 @untabion @RacunBelanja Buka shopeefood nya dari mana ya kak? Install app shopeefood atau buk… https://t.co/w0VK3PWj92,vitaa buka shopeefood nya dari mana ya kak install app shopeefood atau buk,vitaa buka shopeefood nya dari mana ya kak install aplikasi shopeefood atau buk,vitaa buka shopeefood kak install aplikasi shopeefood buk,"['vitaa', 'buka', 'shopeefood', 'kak', 'install', 'aplikasi', 'shopeefood', 'buk']",-1,negative,2.0
32,32,2021-12-27 04:15:51+00:00,@tanyakanrl make shopeefood biar dpt potongan 60%,make shopeefood biar dpt potongan,makai shopeefood biar dapat potongan,makai shopeefood potongan,"['maka', 'shopeefood', 'potong']",-2,negative,0.0
33,33,2021-12-27 04:13:13+00:00,Lupa nak cerita semalam shopeefood rider hantar food dalam keadaan luka dan jalan pun hencut sebab otw dia jatuh motor elak anjing 😭,lupa nak cerita semalam shopeefood rider hantar food dalam keadaan luka dan jalan pun hencut sebab otw dia jatuh motor elak anjing,lupa nak cerita semalam shopeefood rider hantar food dalam keadaan luka dan jalan pun hencut sebab otw dia jatuh motor elak anjing,lupa nak cerita semalam shopeefood rider hantar food luka jalan hencut otw jatuh motor elak anjing,"['lupa', 'nak', 'cerita', 'malam', 'shopeefood', 'rider', 'hantar', 'food', 'luka', 'jalan', 'hencut', 'otw', 'jatuh', 'motor', 'elak', 'anjing']",-9,negative,0.0
34,34,2021-12-27 04:13:10+00:00,"@3Gman6 @RacunBelanja luar jabodetabek bisa, langsung klik banner di shopeefood aja kak",luar jabodetabek bisa langsung klik banner di shopeefood aja kak,luar jabodetabek bisa langsung klik banner di shopeefood aja kak,jabodetabek langsung klik banner shopeefood kak,"['jabodetabek', 'langsung', 'klik', 'banner', 'shopeefood', 'kak']",3,positive,2.0
35,35,2021-12-27 04:12:16+00:00,"Ada yang mau pake voucher shopeefood? 
2 akun. 50% minbel 100rb diskon 100rb sama 100% 20rb minbel 20rb. 
cv kalo m… https://t.co/wmkKiUZgKG",ada yang mau pake voucher shopeefood akun minbel rb diskon rb sama rb minbel rb cv kalo,ada yang mau pakai voucher shopeefood akun minbel rb potongan harga rb sama rb minbel rb cv kalau,pakai voucher shopeefood akun minbel rb potongan harga rb rb minbel rb cv,"['pakai', 'voucher', 'shopeefood', 'akun', 'minbel', 'rb', 'potong', 'harga', 'rb', 'rb', 'minbel', 'rb', 'cv']",4,positive,2.0
36,36,2021-12-27 04:09:38+00:00,"@notsobangtan Bisa dua2nya kok, shopeefood juga bisa",bisa duanya kok shopeefood juga bisa,bisa duanya kok shopeefood juga bisa,duanya shopeefood,"['dua', 'shopeefood']",1,positive,2.0
37,37,2021-12-27 04:09:21+00:00,"@pikenke10 @untabion @RacunBelanja Jgn buka dari link mincun, yg dom selain jabodetabek tinggal buka shopeefood aja… https://t.co/kNhIuc4JaI",jgn buka dari link mincun yg dom selain jabodetabek tinggal buka shopeefood aja,jangan buka dari link mincun yang dom selain jabodetabek tinggal buka shopeefood aja,buka link mincun dom jabodetabek tinggal buka shopeefood,"['buka', 'link', 'mincun', 'dom', 'jabodetabek', 'tinggal', 'buka', 'shopeefood']",7,positive,2.0
38,38,2021-12-27 04:03:56+00:00,Shopeefood masih diskon 70% mega diskon,shopeefood masih diskon mega diskon,shopeefood masih potongan harga mega potongan harga,shopeefood potongan harga mega potongan harga,"['shopeefood', 'potong', 'harga', 'mega', 'potong', 'harga']",2,positive,2.0
39,39,2021-12-27 04:02:23+00:00,"ShopeeFood Gajian Mega Diskon🌟
Diskon 100% maksimal Rp20.000
⏰Jam 11.00

Jabodetabek:

https://t.co/jOuvnldGlk https://t.co/utrDbnW2rA",shopeefood gajian mega diskon diskon maksimal rp jam jabodetabek,shopeefood gajian mega potongan harga potongan harga maksimal rupiah jam jabodetabek,shopeefood gajian mega potongan harga potongan harga maksimal rupiah jam jabodetabek,"['shopeefood', 'gaji', 'mega', 'potong', 'harga', 'potong', 'harga', 'maksimal', 'rupiah', 'jam', 'jabodetabek']",5,positive,2.0
40,40,2021-12-27 04:00:54+00:00,"RT @RacunBelanja: Voucher Gajian ShopeeFood 🍽️
Klaim diskon 100% maksimal Rp20.000 mulai jam 11:00 &amp; 17:00 ⏰

Halaman promo Jabodetabek:
ht…",rt voucher gajian shopeefood klaim diskon maksimal rp mulai jam amp halaman promo jabodetabek ht,rt voucher gajian shopeefood klaim potongan harga maksimal rupiah mulai jam amp halaman promo jabodetabek ht,voucher gajian shopeefood klaim potongan harga maksimal rupiah jam halaman promo jabodetabek ht,"['voucher', 'gaji', 'shopeefood', 'klaim', 'potong', 'harga', 'maksimal', 'rupiah', 'jam', 'halaman', 'promo', 'jabodetabek', 'ht']",10,positive,2.0
41,41,2021-12-27 03:59:44+00:00,"Ada jadwal ngajar jam 8-12,tapi voucher shopeefood muncul jam 11 https://t.co/5BlZ00Clvq",ada jadwal ngajar jam tapi voucher shopeefood muncul jam,ada jadwal ngajar jam tapi voucher shopeefood muncul jam,jadwal ngajar jam voucher shopeefood muncul jam,"['jadwal', 'ngajar', 'jam', 'voucher', 'shopeefood', 'muncul', 'jam']",4,positive,2.0
42,42,2021-12-27 03:58:02+00:00,"RT @RacunBelanja: Voucher Gajian ShopeeFood 🍽️
Klaim diskon 100% maksimal Rp20.000 mulai jam 11:00 &amp; 17:00 ⏰

Halaman promo Jabodetabek:
ht…",rt voucher gajian shopeefood klaim diskon maksimal rp mulai jam amp halaman promo jabodetabek ht,rt voucher gajian shopeefood klaim potongan harga maksimal rupiah mulai jam amp halaman promo jabodetabek ht,voucher gajian shopeefood klaim potongan harga maksimal rupiah jam halaman promo jabodetabek ht,"['voucher', 'gaji', 'shopeefood', 'klaim', 'potong', 'harga', 'maksimal', 'rupiah', 'jam', 'halaman', 'promo', 'jabodetabek', 'ht']",10,positive,2.0
43,43,2021-12-27 03:57:37+00:00,"Voucher Gajian ShopeeFood 🍽️
Klaim diskon 100% maksimal Rp20.000 mulai jam 11:00 &amp; 17:00 ⏰

Halaman promo Jabodetab… https://t.co/XUbDXk0gRh",voucher gajian shopeefood klaim diskon maksimal rp mulai jam amp halaman promo jabodetab,voucher gajian shopeefood klaim potongan harga maksimal rupiah mulai jam amp halaman promo jabodetab,voucher gajian shopeefood klaim potongan harga maksimal rupiah jam halaman promo jabodetab,"['voucher', 'gaji', 'shopeefood', 'klaim', 'potong', 'harga', 'maksimal', 'rupiah', 'jam', 'halaman', 'promo', 'jabodetab']",10,positive,2.0
44,44,2021-12-27 03:49:10+00:00,Hi kak di ShopeeFood hari ini hari terakhir promo serbu Pay Day Diskon 70% nih. Jangan lupa klaim voucher GRATIS ON… https://t.co/IZNq5HXjnB,hi kak di shopeefood hari ini hari terakhir promo serbu pay day diskon nih jangan lupa klaim voucher gratis on,hi kak di shopeefood hari ini hari terakhir promo serbu pay day potongan harga ini jangan lupa klaim voucher gratis on,hi kak shopeefood promo serbu pay day potongan harga lupa klaim voucher gratis on,"['hi', 'kak', 'shopeefood', 'promo', 'serbu', 'pay', 'day', 'potong', 'harga', 'lupa', 'klaim', 'voucher', 'gratis', 'on']",13,positive,2.0
45,45,2021-12-27 03:48:47+00:00,ini kenapa mcd di shopeefood sm gojek ga ada menu burgernya ya @____@ or am i tripping,ini kenapa mcd di shopeefood sm gojek ga ada menu burgernya ya or am tripping,ini kenapa mcd di shopeefood sama gojek tidak ada menu burgernya ya atau sama tripping,mcd shopeefood gojek menu burgernya tripping,"['mcd', 'shopeefood', 'gojek', 'menu', 'burgernya', 'tripping']",0,neutral,1.0
46,46,2021-12-27 03:47:32+00:00,Cah kediri gung enek shopeefood ta? :(,cah kediri gung enek shopeefood ta,cah kediri gung muak shopeefood ta,cah kediri gung muak shopeefood ta,"['cah', 'diri', 'gung', 'muak', 'shopeefood', 'ta']",-9,negative,0.0
47,47,2021-12-27 03:46:22+00:00,"Mohon maaf nasabah lemak, karena ada error hari ini grabfood masih kita close ya. Untuk pemesanan bisa melalui Gofo… https://t.co/T6hAkLJBwf",mohon maaf nasabah lemak karena ada error hari ini grabfood masih kita close ya untuk pemesanan bisa melalui gofo,mohon maaf nasabah lemak karena ada error hari ini grabfood masih kita close ya untuk pemesanan bisa melalui gofo,mohon maaf nasabah lemak error grabfood close pemesanan gofo,"['mohon', 'maaf', 'nasabah', 'lemak', 'error', 'grabfood', 'close', 'mesan', 'gofo']",1,positive,2.0
48,48,2021-12-27 03:44:53+00:00,Tes pertama kampus mengajar udah selesai. Sebelum lanjut tes kedua rebutan voucher shopeefood dulu 🤣,tes pertama kampus mengajar udah selesai sebelum lanjut tes kedua rebutan voucher shopeefood dulu,tes pertama kampus mengajar sudah selesai sebelum lanjut tes kedua rebutan voucher shopeefood dulu,tes kampus mengajar selesai tes rebutan voucher shopeefood,"['tes', 'kampus', 'ajar', 'selesai', 'tes', 'rebut', 'voucher', 'shopeefood']",7,positive,2.0
49,49,2021-12-27 03:40:08+00:00,Kok bisa ya ada orang pesen gofood/shopeefood sampe abangnya yg ngater ngetokin rumah samping2nya karna bingung rum… https://t.co/jZa5AhQTtH,kok bisa ya ada orang pesen gofoodshopeefood sampe abangnya yg ngater ngetokin rumah sampingnya karna bingung rum,kok bisa ya ada orang pesan gofoodshopeefood sampai abangnya yang ngater ngetokin rumah sampingnya karena bingung rum,orang pesan gofoodshopeefood abangnya ngater ngetokin rumah sampingnya bingung rum,"['orang', 'pesan', 'gofoodshopeefood', 'abang', 'ngater', 'ngetokin', 'rumah', 'samping', 'bingung', 'rum']",1,positive,2.0
50,50,2021-12-27 03:37:13+00:00,shopee kapan ada voucher shopeefood lg😢,shopee kapan ada voucher shopeefood lg,shopee kapan ada voucher shopeefood lagi,shopee voucher shopeefood,"['shopee', 'voucher', 'shopeefood']",3,positive,2.0
51,51,2021-12-27 03:36:22+00:00,jan lupa hari ini shopeefood diskon 70%😋,jan lupa hari ini shopeefood diskon,jangan lupa hari ini shopeefood potongan harga,lupa shopeefood potongan harga,"['lupa', 'shopeefood', 'potong', 'harga']",2,positive,2.0
52,52,2021-12-27 03:35:00+00:00,kapan shopeefood ada di siniiiii,kapan shopeefood ada di siniiiii,kapan shopeefood ada di siniiiii,shopeefood siniiiii,"['shopeefood', 'siniiiii']",0,neutral,2.0
53,53,2021-12-27 03:31:11+00:00,Yuk guys hari ini hari terakhir promo serbu Pay Day Diskon 70% hanya di aplikasi ShopeeFood. Jangan lupa klaim vouc… https://t.co/KuBgQqnCbE,yuk guys hari ini hari terakhir promo serbu pay day diskon hanya di aplikasi shopeefood jangan lupa klaim vouc,yuk guys hari ini hari terakhir promo serbu pay day potongan harga hanya di aplikasi shopeefood jangan lupa klaim vouc,yuk guys promo serbu pay day potongan harga aplikasi shopeefood lupa klaim vouc,"['yuk', 'guys', 'promo', 'serbu', 'pay', 'day', 'potong', 'harga', 'aplikasi', 'shopeefood', 'lupa', 'klaim', 'vouc']",6,positive,2.0
54,54,2021-12-27 03:29:45+00:00,Cek shopeefood ada diskon 20rb tanpa min belanja. Lumayan kan,cek shopeefood ada diskon rb tanpa min belanja lumayan kan,cek shopeefood ada potongan harga rb tanpa minimal belanja lumayan kan,cek shopeefood potongan harga rb minimal belanja lumayan,"['cek', 'shopeefood', 'potong', 'harga', 'rb', 'minimal', 'belanja', 'lumayan']",-3,negative,0.0
55,55,2021-12-27 03:25:42+00:00,woi shopeefood murah banget cok selama ini kemana aja,woi shopeefood murah banget cok selama ini kemana aja,woi shopeefood murah banget cok selama ini kemana aja,woi shopeefood murah banget cok kemana,"['woi', 'shopeefood', 'murah', 'banget', 'cok', 'mana']",4,positive,2.0
56,56,2021-12-27 03:22:21+00:00,"RT @nastikemayoran: YUHUUUU! 

Siap menemani makan siang nasabah lemak! ❤️
Yang lagi WFO bisa banget pesen. Yang lagi WFH bisa juga yuk ord…",rt yuhuuuu siap menemani makan siang nasabah lemak yang lagi wfo bisa banget pesen yang lagi wfh bisa juga yuk ord,rt yuhuuuu siap menemani makan siang nasabah lemak yang lagi wfo bisa banget pesan yang lagi wfh bisa juga yuk ord,yuhuuuu menemani makan siang nasabah lemak wfo banget pesan wfh yuk ord,"['yuhuuuu', 'tani', 'makan', 'siang', 'nasabah', 'lemak', 'wfo', 'banget', 'pesan', 'wfh', 'yuk', 'ord']",12,positive,2.0
57,57,2021-12-27 03:18:26+00:00,makasi diskonnya shopeefood ak bisa jajan menantea lagi (first time nyobain snack nya) wakakakkaks https://t.co/rCbKQRtIes,makasi diskonnya shopeefood ak bisa jajan menantea lagi first time nyobain snack nya wakakakkaks,makasi diskonnya shopeefood ak bisa jajan menantea lagi first time nyobain snack nya wakakakkaks,makasi diskonnya shopeefood ak jajan menantea first time nyobain snack wakakakkaks,"['makas', 'diskon', 'shopeefood', 'ak', 'jajan', 'menantea', 'first', 'time', 'nyobain', 'snack', 'wakakakkaks']",2,positive,2.0
58,58,2021-12-27 03:14:48+00:00,ga kebayang si kalo gada shopeefood wkwk https://t.co/6sjz9K1ZZw,ga kebayang si kalo gada shopeefood wkwk,tidak kebayang si kalau tidak ada shopeefood wkwk,kebayang shopeefood wkwk,"['bayang', 'shopeefood', 'wkwk']",2,positive,2.0
59,59,2021-12-27 03:11:18+00:00,Starbucks kok gak masuk ke Shopeefood ya...,starbucks kok gak masuk ke shopeefood ya,starbucks kok tidak masuk ke shopeefood ya,starbucks masuk shopeefood,"['starbucks', 'masuk', 'shopeefood']",-3,negative,0.0
60,60,2021-12-27 03:10:28+00:00,"YUHUUUU! 

Siap menemani makan siang nasabah lemak! ❤️
Yang lagi WFO bisa banget pesen. Yang lagi WFH bisa juga yuk… https://t.co/cEeo7jStO7",yuhuuuu siap menemani makan siang nasabah lemak yang lagi wfo bisa banget pesen yang lagi wfh bisa juga yuk,yuhuuuu siap menemani makan siang nasabah lemak yang lagi wfo bisa banget pesan yang lagi wfh bisa juga yuk,yuhuuuu menemani makan siang nasabah lemak wfo banget pesan wfh yuk,"['yuhuuuu', 'tani', 'makan', 'siang', 'nasabah', 'lemak', 'wfo', 'banget', 'pesan', 'wfh', 'yuk']",12,positive,2.0
61,61,2021-12-27 03:09:46+00:00,shopeefood diskonnya freak dah ga jelas,shopeefood diskonnya freak dah ga jelas,shopeefood diskonnya freak sudah tidak jelas,shopeefood diskonnya freak,"['shopeefood', 'diskon', 'freak']",2,positive,2.0
