tweet_id,tweet_text,polarity
127,Put your twitter on autopilot and let it gain followers for you!! http://t.co/hze1TqAl #TeamFollowBack #Twitter #autopilot #1000aday 29,neutral
128,GN #Twitter.......z.z.z.z.z.z Z  Z z z z,neutral
129,Thanks to my new followers! ,neutral
130,#Microsoft Announces New â€œPlayful Learningâ€ Titles - Wired News : http://t.co/nN8oietT #av,neutral
131,@seanporter thank uuu! i know i heard youre in dallas ,positive
132,Good morning #twitter.,neutral
133,Can you say #twitter those #followers who are #following me??,neutral
134,Sent an email to one of my undergraduate professors - she replied back saying I made her day ,positive
135,@nanalipzz89 BabyKnightOwl  I won't call you Trudy if you don't want it lol I am fine why are you in a bad mood sweetheart?,positive
136,She now wants an mmmf except I have to only play a supporting role  would mind but the other two guys have huge cocks what am I to do? ,negative
137,@mandiebear I promise.I am so tired today I think it'll be an early one for me too. Tis 4pm &amp; I'm stuffed  #blib,positive
138,"@friendlypharm  too bad it's true, for the most part ",positive
139,my dog is in my room SNORING! ,positive
140,Got to do Spanish revision today ,negative
141,@secretfanofu big news Andrew: I'm moving up to SF at the end of the month! So making the most of my last month in LA. ,positive
142,Yahoo Profit Drops 26 Per Cent! http://t.co/Jd3X8SGM #yahoo #microsoft,neutral
143,@mrskutcher I keep forgetting you are in a different time zone than normal! I see your 'tweets' about the morning when it's 10:45pm here! ,positive
144,on my way home from a relaxing weekend  to bad it's back to reality :/,positive
145,Off to the doctor's today emily has a rash which looks like the measles ,negative
146,i had 7 hours of sleep and now i cant go back to sleeping  im thirsty,negative
147,@phillyan man ur picture is so small on my phone... I can't tell fropm that...give me a hint ,positive
148,RT @FierceCIO: What happens to #Skype now that it is officially #Microsoft's? http://t.co/9FzSH0RY $MSFT,neutral
149,Got to do it!RT @ElderMLTillerJr: I am cracking up at @BishopWSThomas advertising for #Twitter LOL,neutral
150,MS Outlook Quick Access Toolbar - How to customize - http://t.co/VzkEdZaC #tips #microsoft,neutral
151,I noticed a lot of Apple product placement tonight  #hhrs,positive
152,@ilvdbch yes I've met many a good one. The last one just kinda sucked ,positive
153, now I'm happy ,positive
154,I wanna make the goose bump on your inner thigh show twitter,neutral
155,"Ballmer mocks Android, promises a â€œbunch of newâ€ Nokia Windows Phones next week [video] http://t.co/euPPhD1w #microsoft #windows",neutral
156,"@tothepc Did you check out http://www.weboword.com We aren't a dictionary, but we are all about Visual Vocabulary!  Come have fun.",positive
157,"amidst all these recession talks, my friend told me yesterday that she got a pay hike  it sure is a nice to hear that.",positive
158,@JonathanRKnight Good luck with the cruise!! Your gonna need it! ,positive
159,@hitwithafish very nice pics! Such a cute family! ,positive
160,@shilshi older by a few days on twitter! let's see who puts a profile pic first ,positive
161,"Up early again. Work today, off tomorrow, course Thursday, off Friday. So not so bad! ",positive
162,Maybe if I jus listen to hawaiian music everyday my life will be more relaxing haha no? (via @lisakimfleming)worked for me ,positive
163,"OMG, more than 360 people is the death toll in Italy ",negative
164,Amazing that at #microsoft #TechEdAfrica everyone is running iOS phones !,neutral
165,Look closely at the sign   ?,positive
166,@gordonchiu You're one letter alway!    Koreans don't use &quot;X&quot; so there's no hope for me. ,positive
167,@lisalent As part of Freeview? We don't get the sports channel ,negative
168,Late night shower. Refreshing ,positive
169,@alissa_rules Basically.  I feel like I need to take better care of myself after seeing that fool.  No more juicin' for me ,negative
170,I gave @RyannosaurusRex +K about Microsoft Windows on @klout http://t.co/Y33v8wVr #klout #microsoft #windows,neutral
171,AHHHHHHH! Everyones doing laundry except me ,negative
172,Power to levitate?.... still negative. ,negative
173,"Packing, then airport off to Alaska  Please don't lose my luggage AlaskaAir!!!",positive
174,"#Microsoft #Cloud Microsoft - Capture the Cloud: ... through the Rookie, Veteran, and All-Star tiers provid... http://t.co/tnxYUxvA #TCN",neutral
175,@Laatina MONDAYS ARE WHAT YOU MAKE OF IT. ,positive
176,"hehe, I'm such a dork, but I like my hat anyway.  ",positive
177,#Facebook Y #Twitter Off xd,neutral
178,#TroyHopson needs a #twitter. Swear,neutral
179,"A lovely day, blazing sunshine.... too bad I have to work ",positive
180,At work...only 2 more days to go and then i am off for 7 more days  yay!!!,positive
181,New #snom Webinar Nov. 2: Accelerate #Microsoft #Lync Deployments with snom #UC. Register here http://t.co/B1pr1kIX #VARs #phones,neutral
182,"@CheapyD sweet, new episode of cagcast, thnx cheapy ",positive
183,I'm gonna be up for a while soinma be posting lost of tweets  just for you martha LOL,positive
184,@willadam i treated myself to that latte after the appointment which was horrible. I need to have my wisdom teeth surgically removed ,negative
185,is now using windows and tweetdeck... temporarily... ,neutral
186,"Steve Ballmer: #Nokia to reveal multiple #Windows Phone devices next week, #Microsoft may make their own - http://t.co/KnmpXSW0",neutral
187,@jacobstanton2 you're actually #toocool for #twitter :),neutral
188,RT @GP_Jman852: Hello New Followers! Reminder: 1000 followers = a 4000 #Microsoft point #Giveaway! #Xbox360 #XBL #XBLA #MW3 #COD RETWEET!,neutral
189,"RT @NeowinFeed: Microsoft CEO says company got ""lucky"" when Yahoo deal fell apart #microsoft #steveballmer http://t.co/l5uNInSW #neowin",neutral
190,â–º #Job #IT #Projekt #Management #Microsoft  | Projekt fÃ¼r Freelancer: Programm Manager (m/w) in Berlin Â» http://t.co/MO4jtpTL,neutral
191,@pointlesswords Sorry no credit - switched Jose for Xavier ,positive
192,is at work!!!  xx,negative
193,37 Ways to Use #Twitter for Business	http://t.co/MT9RdrCz,neutral
194,#Twitter Buzz Builds for the Occupy Wall Street Movement [CHARTS] http://t.co/DAr3Ef5T #uncategorized,neutral
195,"Had an interesting, really random day... I'm glad my friends have found it hilarious... keeps me goinig. ",positive
196,@Katnkyeri MAD RESPECT to you! ,positive
197,Got to pause twilight now as nearly at work ,negative
198,Megan is hanging out ,positive
199,@busybeeblogger I hope so too. More movies where we get to see his lil Gilles again hopefully ,positive
200,@bonnie_klide  I just think the cab ride through Sofia and the walk to class will be the most interesting part.  ,positive
201,My #twitter age is 1 year 243 days 22 hours 31 minutes 44 seconds. Find out yours at http://t.co/dniOkchP #twittertime,neutral
202,@ad1951 _if you really had something like the exchange w/ @maikwl  in mind beforehand than I admit being utterly and positively surprised ,positive
203,Finally off to bed..Nighty night #twitter world!,neutral
204,@mydesire thanks  next time I shall be better prepared LOL,positive
205,@thejoe78 sounds like you're enjoying pregnancy ,positive
206,"Perfectly ripe and fresh banana goes in the bag.. Arrive at office, it looks like it has been hit by a freight train. Poor banana ",negative
207,"Karate kid, skittles and cranberry juice. Goodnight #twitter",neutral
208,"wasn't impressed with the #iPhone4S and now not impressed with the #GalaxyNexus, so let's see what #Nokia - #Microsoft have to offer...",neutral
209,slept for 11 hours.. had been awake since 5.30am yesterday..  and still i was late for the exam  gotta wake up at 5 tomoro onwards ,negative
210,"@HeatherSullivan and, by the way, thanks for helping me define that better. ",positive
211,I can't believe it. I got my answer and didn't have to ask the question.  This feels awful.,negative
212,"@jennmae awesome.  home from work around 430, and then have to take the puppy out, then to Capones. ",positive
213,#MindTree Introduces mPromo #TradePromotion Solution on #Microsoft #Azure http://t.co/LkjHqrnR #CPG #CGT,neutral
214,talking to william ,positive
215,@zoecello Love the &quot;cello cave!&quot; I saw you at Convergence 13 and am glad to find you have a Twitter. Keep on being awesome. ,positive
216,losing time ,positive
217,"Yu cant answer , But yu can b on #Fb Nd #Twitter",neutral
218,#Microsoft Office v. X for Mac [Old Version] Review: Computer Software Plus  Education Computer Software Sales http://t.co/4GdWlnNM,neutral
219,It's almost 4:20. Where is your bong? Is it packed! Let's rip a bowl over the time space continuum that is #Twitter,neutral
220,RT @guardiantech: #Microsoft Kinect brings 'playful learning' to the Xbox 360 http://t.co/ys79quRD #Gaming,neutral
221,Adult swim #twitter,neutral
222,"believes i'm a twitter-whore. (twitterers Anonymous), T.A meetings here i come ",positive
223,@daygan Wow! This Ubuntu feature is really cool  ?? again! Got More??,positive
224,Oh noooooo Kath is back from Annual Leave!!!!!  du du duuuuuuuu!,negative
225,I just let my EverQuest 2 subscription lapse. Just don't play it anymore. Don't have the time ,negative
226,I can't believe @mr_malie504 is not on #Twitter,neutral
227,@cloudnewsindia New Version of #Cloud InTune is Available: Posted on #Windows 7 News...#Microsoft has just..http://bit.ly/pY0hlZ,neutral
228,"think im an insomniac, i just cant sleep..    birthday in 5 days... oh yay. ~_~",negative
229, Heroes is losing it's momentum ): come on writers pick it up!!!,negative
230,@DanniAsheOnline I wholeheartedly agree with you on that one! ,positive
231,@Croconaw goodnight ,neutral
232,"@stonedi Awww, you're so sweet. Thank you for the compliment ",positive
233,@stevonelson  I like that one. I've used it on a project here.,positive
234,"RT @SomalyMam: You follow me on #twitter, Like my #Foundation on #facebook http://t.co/acaP03y9! Together we can stop #humantrafficking",neutral
235,"@Eeoor - My pleasure! Let me know if you end up subbing, and what ",positive
236,"Studying philosophy and math... &lt;----BLAH aka listening to music and on twitter, facebook, and myspace ",positive
237,I'm on brookes computer on piczo and twitter watching viva la bam. ?luv it? its 1:00 am and still in my skinny jeans. ,positive
238,@chictopia Let me know what you think- I have a long list of other great designers ,positive
239,@JonathanRKnight Thought you were a Mac ,negative
240,"Goodnight, #Twitter.",neutral
241,Also getting alpaca and ima walk it ,positive
242,watching greek. cant believe its the last day ill see you guys.  june 20.... ahh.,negative
243,@XPhile1908 &quot;convenience&quot; of the remedy &lt;---That's just cuz you are a doc!  #24,positive
244,@derek319 @shwe370 sweet! That was fun... Except it stretched my browser... And I was watching Twit! ,positive
245,@AngelsMind hey hey. ,positive
246,Ha! Even #twitter is telling me we're meant to be!,neutral
247,"@point_moot Odd, I was just listening to the scotch_mist version of &quot;15 Step&quot; when you replied. ",positive
248,@triplejHack true off to the #startrekmovie world premiere soonish. enjoy talking about supa-fast interwebs with conroy ,positive
249,@sarahhjessica your seriously addicted 2 #twitter,neutral
250,tweeting from my brand new Sony PSP... just because I CAN!!  ,positive
251,Nothing was sick all day it sucked im just up late cant sleep ,negative
252,"@OnlineMigration me too!, although im still going  hehe",negative
253,@mattimassacre nice  yeah so wish I could afford those things,positive
254,just an hour and 25mins left of work and then jo and i are hitting the gym ,negative
255,High as a mother fucker I'm addicted to #Twitter can't even go to sleep lol,neutral
256,"I'll sleep well tonight.... If the missus doesn't kick me out for being so late home, that is ",positive
257,@vene2ia I know...what a crazy world! ,positive
258,RT @MobileTechWorld: Jet Car Stunts Xbox Live game for Windows Phone released http://t.co/csUC7hVH #wp7 #xbox #microsoft,neutral
259,Windows 7 Roadmap = #Windows #8 Roadmap: M3 final 6.1.6801 (7) and 6.2.8102 (8). #Beta at #CES? :O #Microsoft,neutral
260,"Can anyone please explain to us why the #Retweet ""issue"" is happening to many, but not to others? #twitter #tweeting #tweeps",neutral
261,Good morning everyone ,positive
262,Not even 8.30am and there's far too much noise in the office   Should have worked from home today.,negative
263,@brettbodine I'd email 'em back TMI ,positive
264,Wikipedia has gone  forever! See what the goverment do its there fualt lets hope donations or something bring it back !!,negative
265,@Vanilla_B ok miss kat williams lol ive done it ,positive
266,tafe quiz then PHOTOSHOOT with my sezdawg ,positive
267,@Cookcj I love reading your tweets but it would be nice to see your lovely mug when I read them. Where's your picture? ,positive
268,Uploading photos first before leaving ,positive
269,@vomitto ahh ai dreptate Pixar ,negative
270,@Coyoteontherun Bet I-  Oh wait Mac?  No prolly not. ,negative
271,#twitter and fb# off,neutral
272,I'm laying in bed facing the wall and trying to relax but I'm hearing so many things plus the air conditioning sound is so louad ,negative
273,@DChetty I feel that way about sleep. What's the point if I am just going to wake up in a few hours anyway! ,negative
274,@CelesteChong oh but mine is ceramic so its more ex  abit less visible. inside ones are very ex! double the price n double the duration,negative
275,@laurenrodriguez try it and see. it's all trial and error. ,positive
276,Studying with friends!  that's my update,positive
277,@dezine it's also amusing how many people who DID complain about Bush's spending are suddenly supportive of Obama's!  #tlot,positive
278,Yooooooo #twitter ! @NowThatsBASIC_ is the new #AmberCole who wanna go 1st ? ayyeee she does this shit for a living .,neutral
279,Mackie Manhattan is in the building ,positive
280,"Microsoft CEO says company got ""lucky"" when Yahoo deal fell apart #microsoft #steveballmer: Microsoft CEO Steve ... http://t.co/Zyetras0",neutral
281,Still feeling bleh... Spew burps and all ,negative
282,"@nick_carter you are my IDOL, i love you!  you should reply to me.. &lt;3",positive
283,ryanrossfanz  &lt;-- FOLLOW THEM!  Ryan is uber!,positive
284,Passed out last night while mum was puttin cream on my.tattoo ,negative
285,OMG .. Have to load up the iPOD off to Fresno tomorrow.. I need to stay entertained.  Leaving at 4 am urrrggg!,positive
286,CEO Ballmer's (non)answer on whether Microsoft will build its own Windows Phone #Ballmer #Microsoft #fb http://t.co/9GuMpF8V,neutral
287,"@willkuhn Granular synth tutorial = cute  Oh, and very informative, too.",positive
288,@MrPeterAndre 7 pounds is an awesome film ,positive
289,wanted to say nite  #twitter,neutral
290,"http://twitpic.com/2y3pg Not what I need for my current project, but THIS is ONE FUN &amp; FUNKY FONT! ",positive
291,"new jersey, here i come ",positive
292,"2 hours south of Richmond, VA --&gt; #Microsoft Builds Two-Headed Data Center in Fedsâ€™ Backyard http://t.co/aWwVVoDR #cloud #tech",neutral
293,watchin.. I'm not there. and missing heath ledger ,negative
294,I thought you could buy Silent Hill for the PSP on the PS Store? I can't find it anywhere? ,negative
295,is sooo proud with her bro! huhu.. he's so talentfull.. i wish i could do best like him.. ,negative
296,trying to figure this thing out ,negative
297,"@daNanner Yeah, just finished #castle.  Was pretty good. ",positive
298,@HeavyHand ,positive
299,Survived the night time gherkins.  Heads swimming with ideas this morning.  Only a few of them are actually workable. Time to get busy! ,positive
300,"@Shantymanfan I got your package! Wow, I'm so excited! My very own one! So, do I plant it in a pot for now, and water it till it grows? ",positive
301,RT @Lecko_alx: My #twitter age is 2 years 94 days 1 hour 40 minutes 33 seconds. Find out yours at http://t.co/spItzFcx #twittertime,neutral
302,My pinky toe has been broken for months. I should be concerned :| ,positive
303,"@azmamakim Now I get to take Ash to and from school   Mornings will be crazy, but my kiddos will love it!",positive
304,THANX ! @DesertBeacon @oldivory @bennettgina @yywhy #TWITTER Love and early #FF in case i cant see ! KEEP IT GOING ! #P2,neutral
305,waking up with my nespresso ,positive
306,"Today's episode of &quot;House&quot; (Episode, Simple Explanation) was so heartbreaking. ",negative
307,"@yannionline I wonder who directed, there's definitely an ipod commercial in their future. ",positive
308,Tired as ever! Ready for bed! ,negative
309,"@camillejaiden Dude.  Wow   Now I kind of sort of wished I'd gone, but still ehh.  $35 for 1 band.",positive
310,Can you add multiple queues to the workspace in MS CRM Online 2011? ..and how? #microsoft #crm #queues #customerservice,neutral
311,i don't wanna leave CO! 4:15 am is coming too soon!! ,negative
312,Mmmm.. Page France.. If you don't know them.. you should   lyrical brilliance,positive
313,"So sleepy and tired, going to bed! Nigh #Twitter !",neutral
314,Haha my house is creepy at night!!  It creaks and stuff..scary. lol..I'm gonna go to bed.,negative
315,I'm frankly disappointed and offended that there is a blogger writing AGAINST FU Penguin ,negative
316,i drew a cute baby zebra i think he is my favorite so far ,positive
317,Im such an insomniac this week ,negative
318,@darylsws kids are on holidays ,negative
319,late night is all re-runs  http://ff.im/1Y02L,positive
320,"Log off #Facebook On #Twitter , But I Think i'm bout to going to sleep...",neutral
321,@djginaturner no le gusta house of house 5 min intro ,negative
322,"@Dr_Alli Will Jack EVER die?! He's defied death more times than I can count...dude's got more lives than a cat, lol. ",positive
323,"@heidimontag Glad I could do my part! 1/185k worth...If you'd like to help me Conquer Twitter, I'd be grateful @jazf or http://jazf.com ",positive
324,I wishh #twitter would tell me who retweets my stuff.,neutral
325,is listening to an awesome song but i dnt no the name but i wanna upload it on limewire!!!!! ,negative
326,@Presidential_FU  do me wrong #twitter,neutral
327,@defsound aawwwww i know what u mean. iv never been that girl with a sense of humor ,negative
328,"A beautiful morning - the sun is shining, the birds are singing, I've just been playing Mousetrap with the kids... damn, now work ",negative
329,"I had my #Twitter account for like 3 years now.....and I only made 4,783 tweets? o_O",neutral
330,me and @maddeh are so in sync that both of our stummics hurt right now ,negative
331,@KingdomGuard @hothobolover I guess we will make him have guest appearance in ours then ,positive
332,M10135 Microsoft Course. RRP Â£1640 + VAT. Our Price = Â£1148 + VAT http://t.co/vOTLSnfX #ittraining #microsoft,neutral
333,@ShawnWildermuth  #gates #ballmer #nightAtTheRoxbury #microsoft That is so wild!,neutral
334,â€œ@Blue_Chipperz: This nigga need to go to #Twitter Jailâ€DAAAYUM DOG !! lOl,neutral
335,Please watch this vid and tell me if you are not moved  http://www.youtube.com/watch?v=EUJSME0TORw,negative
336,I'm on one tonight ...#tripping ! Lol eff yal ...its #twitter !,neutral
337,"sorry, I should say that this vid hits you hard, please beware the last 2 minutes especially  http://www.youtube.com/watch?v=EUJSME0TORw",negative
338,@adeline_sky  that sounds fantastic! You're amazing! We need to watch some Muse gigs too! Shall we do it Saturday night?,positive
339,I need 2 unfollow some of these wannabe G's! RT @SteveGr8ofTeeZ: RT @The_Kase Do real thugs have #twitter? #confusedbymytimeline  //Hell no.,neutral
340,RT @HPC_Guru: LINQ to #HPC: #Microsoft closes in on delivering its own #Hadoop competitor http://t.co/rsRmJPob #dryad #BigData via @mary ...,neutral
341,lol at dion putting eyedrops in his eyes ,positive
342,#Twitter is hella funny when got people on here you grew up with....lmao,neutral
343,@msaleem LOL not yet my brutha from anotha mutha ,positive
344,SO IT'S BEEN A LOOONG MINUTE twitter,neutral
345,Really wish I could see Eddie Izzard on tour  Damn the stupid expensive tickets!!! CAKE OR DEATH?!!!,negative
346,.. sad to hear about the discovery of the little girl from Tracy. Her poor family ,negative
347,I miss my friends from elementary and middle school ,negative
348,"@hollaglam my fav English teacher, she just had miscarriage.  &amp; u knw wht makes me sad even more? she was going to name her baby Tamara ",negative
