tweet_id,tweet_text,polarity
91,"Available on gofood, grabfood, ShopeeFood, traveloka Eats, and Kulina #ricebox #friedchciken #ayamgoreng #ayam… https://t.co/lK5ufFJ25g",neutral
92,@ShopeeID Cashback 100% di shopeefood '),positive
93,@ShopeeID Voucher 100% shopeefood 10x 😂,positive
94,"need voucher gofood sama grabfood atau shopeefood dong 

#zonaba #zonauang #zonabu",positive
95,"RT @azizandrean96: https://t.co/kg5Mzj3uGV
The Rise of ShopeeFood Drivers in every corner of Yogyakarta
@UMYogya @komunikasiumy @fajarjun…",positive
96,ShopeeFood – Food Delivery APK v5.5.1 Download https://t.co/9QcAGJyPBw,negative
97,@beby_kitty22 Coba shopeefood,positive
98,"the other day my shopeefood driver said ""maaf ya nak ibu pake akun anaknya hehe"" while giving me the nicest smile a… https://t.co/XcKTtiOYLz",positive
99,"RT @peachjuicyyy: Today's lunch + dessert. ShopeeFood is a lifesaver. I'm not kidding when i say I'm obsessed. So many good deals.
🥲🤤
#Shop…",positive
100,"Total order RM37.60
Bayar RM20.60

Steady Shopeefood!",neutral
