,Tweets,Case_Folding;;;;;;
"2654,""Abang gue jago joki shopeefood";;;;;;
Nasi babat+usus+tempe goreng 4 bungkus cuma 30rb🥴;;;;;;
"Tp ge gak suka babat trims"",""abang gue jago joki shopeefood";;;;;;
nasi babat+usus+tempe goreng 4 bungkus cuma 30rb🥴;;;;;;
"tp ge gak suka babat trims""";;;;;;
2655,@hepiidaybyday Wah hebat nyambi jadi shopeefood ya,@hepiidaybyday wah hebat nyambi jadi shopeefood ya;;;;;;
2656,-dips! Shopeefood jam segini tapi ga ngasih tip ke drivernya boleh kan ya?,-dips! shopeefood jam segini tapi ga ngasih tip ke drivernya boleh kan ya?;;;;;;
2657,@FWBESS Gak ada milih makan di shopeefood atau grab atau gojek ya kak?,@fwbess gak ada milih makan di shopeefood atau grab atau gojek ya kak?;;;;;;
2658,abang shopeefood nyimak ah https://t.co/mas9mU88wc,abang shopeefood nyimak ah https://t.co/mas9mu88wc;;;;;;
2659,pengen shopeefood ini tapi inget spay nya abis😭 https://t.co/qJzIknaxIz,pengen shopeefood ini tapi inget spay nya abis😭 https://t.co/qjziknaxiz;;;;;;
2660,@FOODFESS2 Mari besok nge shopeefood ini 🚀,@foodfess2 mari besok nge shopeefood ini 🚀;;;;;;
2661,Foodpanda ni bila shopeefood atau grabfood takde choice. Terpaksa la guna,foodpanda ni bila shopeefood atau grabfood takde choice. terpaksa la guna;;;;;;
2662,Kebiasaan bgt shopeefood sama gofood kalo abis ujan gak ada yg mau pick up anjir,kebiasaan bgt shopeefood sama gofood kalo abis ujan gak ada yg mau pick up anjir;;;;;;
"2663,""3 foto selfie dan 1 kefoto sama salah satu driver🤣 aku masuk grup komunitas driver shopeefood, dan aku cewek 1-1 nya. Ditanya ga takut 1 grup cowok semua isinya? Jawabku """"enggak, nek takut aku ga mgkn jd driver"""" 🤪 tp abis itu auto ganti pp fotoku sama pacar🤪🤣 https://t.co/ZmaPEQwrQ6"",""3 foto selfie dan 1 kefoto sama salah satu driver🤣 aku masuk grup komunitas driver shopeefood, dan aku cewek 1-1 nya. ditanya ga takut 1 grup cowok semua isinya? jawabku """"enggak, nek takut aku ga mgkn jd driver"""" 🤪 tp abis itu auto ganti pp fotoku sama pacar🤪🤣 https://t.co/zmapeqwrq6""";;;;;;
"2664,""Please banget kedepannya sediakan fitur call yang dari aplikasi ";;;;;;
@shopeefood_id;;;;;;
"  jadi driver tidak prlu call WA segala"",""please banget kedepannya sediakan fitur call yang dari aplikasi ";;;;;;
@shopeefood_id;;;;;;
"  jadi driver tidak prlu call wa segala""";;;;;;
2665,@TforTrustMe Shopeefood banyak voucher nya 😭,@tfortrustme shopeefood banyak voucher nya 😭;;;;;;
2666,mau grabfood/gofood/shopeefood gua nyebutnya tetap gofood,mau grabfood/gofood/shopeefood gua nyebutnya tetap gofood;;;;;;
"2667,""Dulu patah hati itu kalau ditolak cowo yg kita suka, skrng patah hati itu kalo ditolak driver shopeefood :("",""dulu patah hati itu kalau ditolak cowo yg kita suka, skrng patah hati itu kalo ditolak driver shopeefood :(""";;;;;;
"2668,""bisa jalan-jalan, bisa makan diluar, bisa jajan gofood shopeefood ";;;;;;
;;;;;;
"tapi charger aja minjem mulu, beli lah beb"",""bisa jalan-jalan, bisa makan diluar, bisa jajan gofood shopeefood ";;;;;;
;;;;;;
"tapi charger aja minjem mulu, beli lah beb""";;;;;;
"2669,""Dan beberapa kali saya di chat kembali oleh bbrp driver @shopeefood_id  yang prnh anter makanan, prnh jg dengan kata2 yg vulgar tapi saya langsung delete dan lupa SS https://t.co/mJZmEMPAgu"",""dan beberapa kali saya di chat kembali oleh bbrp driver @shopeefood_id  yang prnh anter makanan, prnh jg dengan kata2 yg vulgar tapi saya langsung delete dan lupa ss https://t.co/mjzmempagu""";;;;;;
"2670,""driver tiba2 tlp, sudah saya arahin patokannya melalui tlp tapi tiba2 dia switch v call katanya minta diarahin melalui vcall @shopeefood_id  jelas2 ini mengganggu privacy aku sebagai customer https://t.co/cXJjxLA1Vq"",""driver tiba2 tlp, sudah saya arahin patokannya melalui tlp tapi tiba2 dia switch v call katanya minta diarahin melalui vcall @shopeefood_id  jelas2 ini mengganggu privacy aku sebagai customer https://t.co/cxjjxla1vq""";;;;;;
"2671,""dear @shopeefood_id  kapan ya kalian akan nyediain fitur call seperti di grabfood dan gofood?... beberapa kali saya kurang nyaman dengan driver yang call melalui chat WA/ call WA, dan barusan order @shopeefood_id  tiba2 drivernya vcall minta di arahin jalan."",""dear @shopeefood_id  kapan ya kalian akan nyediain fitur call seperti di grabfood dan gofood?... beberapa kali saya kurang nyaman dengan driver yang call melalui chat wa/ call wa, dan barusan order @shopeefood_id  tiba2 drivernya vcall minta di arahin jalan.""";;;;;;
2672,gue mutusin mau makan apa aja scroll shopeefood sampe sejam lbh juga blm tentu bisa mutusin wkwk,gue mutusin mau makan apa aja scroll shopeefood sampe sejam lbh juga blm tentu bisa mutusin wkwk;;;;;;
2673,@shopeefood_id woy min dri kmaren penarikan dana blm masuk2,@shopeefood_id woy min dri kmaren penarikan dana blm masuk2;;;;;;
2674,@straykiizeuu__ Coba beli di shopeefood aja mayan ada voucher potongan harga,@straykiizeuu__ coba beli di shopeefood aja mayan ada voucher potongan harga;;;;;;
2675,w yakin ini besok buka shopeefood langsung pada abis https://t.co/RXbDNDn3ja,w yakin ini besok buka shopeefood langsung pada abis https://t.co/rxbdndn3ja;;;;;;
2676,syg! bgt sama shopeefood https://t.co/i6IZPHjDaN,syg! bgt sama shopeefood https://t.co/i6izphjdan;;;;;;
"2677,""Nasi Goreng Tiga De Nok - Palmerah sekarang ada di ShopeeFood! Pesan Sekarang, langsung diantar. https://t.co/WnLvfcwVNg https://t.co/Zp643MOoCF"",""nasi goreng tiga de nok - palmerah sekarang ada di shopeefood! pesan sekarang, langsung diantar. https://t.co/wnlvfcwvng https://t.co/zp643moocf""";;;;;;
"2678,""Ni Boba BRAWIJAYA ";;;;;;
#gofoodpartner;;;;;;
#gofoodindonesia ;;;;;;
#GoFood ;;;;;;
#gofoodpartners ;;;;;;
#BangkitBersama ;;;;;;
#GrabFood  #GrabmerchantID #grabistimewa  #grabfoodistimewa ;;;;;;
"#shopeeFood #shopee_id #shopeegiveaway https://t.co/eYX2lL5VTl"",""ni boba brawijaya ";;;;;;
#gofoodpartner;;;;;;
#gofoodindonesia ;;;;;;
#gofood ;;;;;;
#gofoodpartners ;;;;;;
#bangkitbersama ;;;;;;
#grabfood  #grabmerchantid #grabistimewa  #grabfoodistimewa ;;;;;;
"#shopeefood #shopee_id #shopeegiveaway https://t.co/eyx2ll5vtl""";;;;;;
"2679,""@_zoypab_ maaf kak, di dom ku belum ada shopeefood"",""@_zoypab_ maaf kak, di dom ku belum ada shopeefood""";;;;;;
"2680,""@FutichatulU Aku ada 70% tapi shopeefood, cek tweetku aja"",""@futichatulu aku ada 70% tapi shopeefood, cek tweetku aja""";;;;;;
"2681,""@jejaksijuyeon_ Aku ada 70% tapi shopeefood, cek tweetku aja"",""@jejaksijuyeon_ aku ada 70% tapi shopeefood, cek tweetku aja""";;;;;;
"2682,""@pinkieyaa Aku ada 70% tapi shopeefood, cek tweetku aja"",""@pinkieyaa aku ada 70% tapi shopeefood, cek tweetku aja""";;;;;;
2683,@firdaadilla @FFOODFESS Lebih instan beli di Shopeefood 😅,@firdaadilla @ffoodfess lebih instan beli di shopeefood 😅;;;;;;
"2684,""@loeywife11 Aku ada 70% tapi shopeefood, cek tweetku aja"",""@loeywife11 aku ada 70% tapi shopeefood, cek tweetku aja""";;;;;;
2685,Hampir aja melakukan kejadian memalukan gue kira abang abang shopeefood udah nyamperin ternyata temen nya tetangga sebelah yaudah jalan aja terus untung belom berhenti  🙃🔪,hampir aja melakukan kejadian memalukan gue kira abang abang shopeefood udah nyamperin ternyata temen nya tetangga sebelah yaudah jalan aja terus untung belom berhenti  🙃🔪;;;;;;
"2686,""mau order makanan shopeefood, tp kamar sebelah lagi ngewslebew. mau keluar kamar jd gaenak sendiri anjg."",""mau order makanan shopeefood, tp kamar sebelah lagi ngewslebew. mau keluar kamar jd gaenak sendiri anjg.""";;;;;;
2687,@picceusky iyaa pake diskon dari shopeefood🙈,@picceusky iyaa pake diskon dari shopeefood🙈;;;;;;
"2688,""Mon maap ni ya mau tanya, kalo bonusnya di turunin apa iya dapat memberikan manfaat buat mitra? Malah tambah boncos iya. Makin aneh aja ini neng sopi 🐒";;;;;;
"@ShopeeID @shopeefood_id https://t.co/76BBhZVQ65"",""mon maap ni ya mau tanya, kalo bonusnya di turunin apa iya dapat memberikan manfaat buat mitra? malah tambah boncos iya. makin aneh aja ini neng sopi 🐒";;;;;;
"@shopeeid @shopeefood_id https://t.co/76bbhzvq65""";;;;;;
2689,Ini pesenan shopeefood gue udah djcantelin mamang shopee di gerbang kos kaga dicuri oreo seol buntaengi kan!!!! Soalnya gue tunda ambil gegara baca berantemnya para majikan mereka duluuu 😭😭😭 https://t.co/tSg7PbqTSj,ini pesenan shopeefood gue udah djcantelin mamang shopee di gerbang kos kaga dicuri oreo seol buntaengi kan!!!! soalnya gue tunda ambil gegara baca berantemnya para majikan mereka duluuu 😭😭😭 https://t.co/tsg7pbqtsj;;;;;;
"2690,""malu banget dibilang """"kak, kakak cantik deh kak"""" sama abang shopeefood wkwkwkwk malooo"",""malu banget dibilang """"kak, kakak cantik deh kak"""" sama abang shopeefood wkwkwkwk malooo""";;;;;;
"2691,""@FWBESS Lifehack:";;;;;;
;;;;;;
Venue cek Trave yg under 500, bs under 400;;;;;;
;;;;;;
Transport bw mtr/mbl, anggap 40 km total, pk mbl ~4L sekitar 30rb, mtr lb murah lg;;;;;;
;;;;;;
Konsumsi pk voucher ShopeeFood 4 porsi (2+2), msg2 ~23rb;;;;;;
;;;;;;
Hiburan download torrent, bw kabel hape ke HDMI. Gratis;;;;;;
;;;;;;
"Total ~600. Thank me later"",""@fwbess lifehack:";;;;;;
;;;;;;
venue cek trave yg under 500, bs under 400;;;;;;
;;;;;;
transport bw mtr/mbl, anggap 40 km total, pk mbl ~4l sekitar 30rb, mtr lb murah lg;;;;;;
;;;;;;
konsumsi pk voucher shopeefood 4 porsi (2+2), msg2 ~23rb;;;;;;
;;;;;;
hiburan download torrent, bw kabel hape ke hdmi. gratis;;;;;;
;;;;;;
"total ~600. thank me later""";;;;;;
"2692,""BEAR BOBBA LOWOKWARU";;;;;;
;;;;;;
Boba Brown Sugar 13K #BigCup22oz;;;;;;
50% Disc #ShopeeFood #GrabFood #GoFood;;;;;;
;;;;;;
https://t.co/6fplAdGVlD;;;;;;
;;;;;;
#InfoKulinerMalang;;;;;;
#LaporLaper;;;;;;
#KulinerHitsMalang;;;;;;
#MalangCulinary;;;;;;
#MalangKuliner;;;;;;
#BobaMalang;;;;;;
#KopiMalang ;;;;;;
#EsTehMalang;;;;;;
#MojitoMalang;;;;;;
#Grab;;;;;;
#GoJek;;;;;;
#Shopee;;;;;;
"#BTS https://t.co/1AcVgBAuAA"",""bear bobba lowokwaru";;;;;;
;;;;;;
boba brown sugar 13k #bigcup22oz;;;;;;
50% disc #shopeefood #grabfood #gofood;;;;;;
;;;;;;
https://t.co/6fpladgvld;;;;;;
;;;;;;
#infokulinermalang;;;;;;
#laporlaper;;;;;;
#kulinerhitsmalang;;;;;;
#malangculinary;;;;;;
#malangkuliner;;;;;;
#bobamalang;;;;;;
#kopimalang ;;;;;;
#estehmalang;;;;;;
#mojitomalang;;;;;;
#grab;;;;;;
#gojek;;;;;;
#shopee;;;;;;
"#bts https://t.co/1acvgbauaa""";;;;;;
2693,sedeket ini tapi kupilih shopeefood karna ada diskon https://t.co/9r3Jp8KuKK,sedeket ini tapi kupilih shopeefood karna ada diskon https://t.co/9r3jp8kukk;;;;;;
"2694,""jog aku dah masak nasi tapi belum ada lauk, saran dong beli apa di sekitaran jakal bawah ya atau maksimal 2kman dari ugm (shopeefood/grabfood)"",""jog aku dah masak nasi tapi belum ada lauk, saran dong beli apa di sekitaran jakal bawah ya atau maksimal 2kman dari ugm (shopeefood/grabfood)""";;;;;;
2695,@orchid_lion @FOODFESS2 murah gak sih termasuknya😰apalagi pake shopeefood,@orchid_lion @foodfess2 murah gak sih termasuknya😰apalagi pake shopeefood;;;;;;
"2696,""Ngakak bgt pesan shopeefood chat sma driver saling manggil """"pak"""" soalnya fotoku mark😭 eh pas dtg dia kaget sendiri bilang ohh cewek?😭 Lucu juga ternyata si drivernya cewek😭🤣"",""ngakak bgt pesan shopeefood chat sma driver saling manggil """"pak"""" soalnya fotoku mark😭 eh pas dtg dia kaget sendiri bilang ohh cewek?😭 lucu juga ternyata si drivernya cewek😭🤣""";;;;;;
2697,ini abang shopeefood ngapaiin make moge sih wkwkwk,ini abang shopeefood ngapaiin make moge sih wkwkwk;;;;;;
2698,GW PESEN SHOPEEFOOD APA KESANA LGSG AJA YA https://t.co/0MWILsDZoJ,gw pesen shopeefood apa kesana lgsg aja ya https://t.co/0mwilsdzoj;;;;;;
"2699,""Knp promo shopeefood selalu menggiurkan wkwk, jd bulak balik top up shopeepay kan 😌👋🏻"",""knp promo shopeefood selalu menggiurkan wkwk, jd bulak balik top up shopeepay kan 😌👋🏻""";;;;;;
2700,@asyrafazmanahmd Order Foodpanda time macam ni memang selalu problem nak cari rider. Selalu time time lepas 6.30 aku cari makan kat Shopeefood je senang sikit dapat rider haha.,@asyrafazmanahmd order foodpanda time macam ni memang selalu problem nak cari rider. selalu time time lepas 6.30 aku cari makan kat shopeefood je senang sikit dapat rider haha.;;;;;;
2701,Bingung mau shopeefood apa nih jog ? Saran doong,bingung mau shopeefood apa nih jog ? saran doong;;;;;;
"2702,""KENAPA HARGANYA 39.600 SIH DI SHOPEEFOOD MAU MARAH, KURANG 400 RUPIAH BIAR DAPET PROMO PROMO!!!!! 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 https://t.co/jcaB9jluaC"",""kenapa harganya 39.600 sih di shopeefood mau marah, kurang 400 rupiah biar dapet promo promo!!!!! 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 https://t.co/jcab9jluac""";;;;;;
"2703,""@FOODFESS2 Dm dong nder, ada shopeefood/gojek ga?"",""@foodfess2 dm dong nder, ada shopeefood/gojek ga?""";;;;;;
2704,Besok mau ah pake shopeefood https://t.co/R239VriBI2,besok mau ah pake shopeefood https://t.co/r239vribi2;;;;;;
2705,@FOODFESS2 tengkyu nder langsung buka shopeefood wkwk,@foodfess2 tengkyu nder langsung buka shopeefood wkwk;;;;;;
"2706,""mau cek shopeefood dlu";;;;;;
;;;;;;
"#TheSong #BUTTER #PCAs"",""mau cek shopeefood dlu";;;;;;
;;;;;;
"#thesong #butter #pcas""";;;;;;
2707,wayahe iku sego empok langgananku daftar nde grabfood tah gofood tah shopeefood ngono lo,wayahe iku sego empok langgananku daftar nde grabfood tah gofood tah shopeefood ngono lo;;;;;;
"2708,""driver shopeefood tuh udah tau app-nya sering salah titik. tapi tiap dikasih tau kalau di gmaps namanya """"A"""" kagak buka maps. malah muter muter"",""driver shopeefood tuh udah tau app-nya sering salah titik. tapi tiap dikasih tau kalau di gmaps namanya """"a"""" kagak buka maps. malah muter muter""";;;;;;
"2709,""@loeyproms Mauu kak, pengen baso acii akunya👉👈, mumpung di shopeefood kan gede diskonnya😂😂. Wish me luck"",""@loeyproms mauu kak, pengen baso acii akunya👉👈, mumpung di shopeefood kan gede diskonnya😂😂. wish me luck""";;;;;;
"2710,""Wts voucher shopeefood min. pembelian 20k, btw resto tertentu ya  #zonauang https://t.co/Yxhm2qy0JW"",""wts voucher shopeefood min. pembelian 20k, btw resto tertentu ya  #zonauang https://t.co/yxhm2qy0jw""";;;;;;
2711,@loeyproms tapi disini gada shopeefood 😭,@loeyproms tapi disini gada shopeefood 😭;;;;;;
2712,@loeyproms mauu thai tea tp ga ada shopeefood😭😭,@loeyproms mauu thai tea tp ga ada shopeefood😭😭;;;;;;
"2713,""@GrabMY @YameteOnichxn Alamak, janganlah macam tu. Kita pun ada macam - macam juga. Apa kata awak DM kita username awak. Kita nak bagi surprise :) #ShopeeFood"",""@grabmy @yameteonichxn alamak, janganlah macam tu. kita pun ada macam - macam juga. apa kata awak dm kita username awak. kita nak bagi surprise :) #shopeefood""";;;;;;
"2714,""mau pindah kota aja deh, kota lain ada gojek, shopeefood disini gk ada ☹️☹️"",""mau pindah kota aja deh, kota lain ada gojek, shopeefood disini gk ada ☹️☹️""";;;;;;
2715,Shopeefood udah ada di cileunyi dan nangor🙂✨🤗,shopeefood udah ada di cileunyi dan nangor🙂✨🤗;;;;;;
2716,hah promo shopeefood dah ga ada kah??,hah promo shopeefood dah ga ada kah??;;;;;;
"2717,""@qyuriouz nanti kasih tip ajaaa binn, emang kadang shopeefood ngaco"",""@qyuriouz nanti kasih tip ajaaa binn, emang kadang shopeefood ngaco""";;;;;;
"2718,""Bangga bgt seminggu ini belom shopeefood apa-apa, masak terus 🥺👍🏻👍🏻"",""bangga bgt seminggu ini belom shopeefood apa-apa, masak terus 🥺👍🏻👍🏻""";;;;;;
"2719,""@hrdbacot Ak kerja di shopeeFood mas, jadi Food Quality Assurance alias kalo ada makanan ga enak atau ga lengkap aku mara2 dan protes sambil tag shopee di twitter"",""@hrdbacot ak kerja di shopeefood mas, jadi food quality assurance alias kalo ada makanan ga enak atau ga lengkap aku mara2 dan protes sambil tag shopee di twitter""";;;;;;
2720,@hallolegep @FOODFESS2 td udah cek shopeefood tp ga ada diskon masa,@hallolegep @foodfess2 td udah cek shopeefood tp ga ada diskon masa;;;;;;
2721,padahal mau nyobain order shopeefood,padahal mau nyobain order shopeefood;;;;;;
"2722,""buset lama bgt nyairin duit di shopeefood driver, btw itu dri kemarin jam setengah 22:23 malem loh smpe skrg ga cair2, gw si yg anak kosan cmn bisa ketawa aja sistem penarikan uangnya selama ini @shopeefood_id https://t.co/10GNNft1JB"",""buset lama bgt nyairin duit di shopeefood driver, btw itu dri kemarin jam setengah 22:23 malem loh smpe skrg ga cair2, gw si yg anak kosan cmn bisa ketawa aja sistem penarikan uangnya selama ini @shopeefood_id https://t.co/10gnnft1jb""";;;;;;
"2723,""akhirnya pake shopefood kann, nah nemu nih ada yg buka, taunya malah dibatalin. kasian bgt saka drivernya anjir ppdahal disini masih jarang shopeefood tuu"",""akhirnya pake shopefood kann, nah nemu nih ada yg buka, taunya malah dibatalin. kasian bgt saka drivernya anjir ppdahal disini masih jarang shopeefood tuu""";;;;;;
2724,@babyloveshark @FOODFESS2 Ada shopeefood diskon 18rb lmyan,@babyloveshark @foodfess2 ada shopeefood diskon 18rb lmyan;;;;;;
2725,Bapak2 shopeefood lg nungu ujan dimasjid nontonnya netflix guys. Legal 🤣,bapak2 shopeefood lg nungu ujan dimasjid nontonnya netflix guys. legal 🤣;;;;;;
2726,@ngehngehngeh ni 8km. i rasa sebab tak apply tu. i pulak 1st time guna shopeefood. wkwkw,@ngehngehngeh ni 8km. i rasa sebab tak apply tu. i pulak 1st time guna shopeefood. wkwkw;;;;;;
2727,@saltedcaramwell Asli shopeefood annoying bgt bukan cmn itu ajasi kek pengirimannya juga lama pol,@saltedcaramwell asli shopeefood annoying bgt bukan cmn itu ajasi kek pengirimannya juga lama pol;;;;;;
2728,aku salah tengok ke aku kena scam. kata free delivery shopeefood ni. hahaha,aku salah tengok ke aku kena scam. kata free delivery shopeefood ni. hahaha;;;;;;
"2729,""@babyloveshark @FOODFESS2 Ada di shopeefood tpi cmn dicabang cabang tertentu aja belum semuanya, di aku aja holland cmn ada 1 dishopeefood padahal banyak didaerah sni"",""@babyloveshark @foodfess2 ada di shopeefood tpi cmn dicabang cabang tertentu aja belum semuanya, di aku aja holland cmn ada 1 dishopeefood padahal banyak didaerah sni""";;;;;;
2730,Kalo punya cees tetanggan enak kali ya buka2 shopeefood gofood bisa patungan...,kalo punya cees tetanggan enak kali ya buka2 shopeefood gofood bisa patungan...;;;;;;
2731,@xiaaayoouu Golek shopeefood byk promo,@xiaaayoouu golek shopeefood byk promo;;;;;;
2732,@deryhoon emg shopeefood promonya gamain2 siii kmrn order geprek bensu jg murce,@deryhoon emg shopeefood promonya gamain2 siii kmrn order geprek bensu jg murce;;;;;;
"2733,""@sharoseanne1 yashh, karena aku pake promo shopeefood juga siii jd murceee parah"",""@sharoseanne1 yashh, karena aku pake promo shopeefood juga siii jd murceee parah""";;;;;;
"2734,""-ness mie goreng yg ditikungan FMIPA itu ada di gofood grabfood atau shopeefood ga? atau delivery gitu, kalo ada namanya apa? makasiii"",""-ness mie goreng yg ditikungan fmipa itu ada di gofood grabfood atau shopeefood ga? atau delivery gitu, kalo ada namanya apa? makasiii""";;;;;;
"2735,""Makan malam check ";;;;;;
"Masih ada ya kak, bisa order di Tokopedia atau Shopeefood ada promo ongkir, bisa juga di GoFood dan Grabfood jika ingin lebih hemat, promo Makan Bareng langsung WA mingor di 082225611165 😊 https://t.co/nB6Yz0vty8"",""makan malam check ";;;;;;
"masih ada ya kak, bisa order di tokopedia atau shopeefood ada promo ongkir, bisa juga di gofood dan grabfood jika ingin lebih hemat, promo makan bareng langsung wa mingor di 082225611165 😊 https://t.co/nb6yz0vty8""";;;;;;
"2736,""@cheesemcd Hi kak, jgn khawatir ya. Aku infoin mggunakn Voucher SFood:  Pilih menu Gratis Ongkir &amp";" Voucher Pilih, """"Voucher Hari Ini"""",  Pilih """"ShopeeFood"""",  Klaim voucher Stlh itu,  Klik """"Checkout"""" Pilih """"Voucher"""" Pilih voucher yg mau dgnkn. Jk masih kendala infoin detailny di DM ya  :)^XF"",""@cheesemcd hi kak, jgn khawatir ya. aku infoin mggunakn voucher sfood:  pilih menu gratis ongkir &amp";" voucher pilih, """"voucher hari ini"""",  pilih """"shopeefood"""",  klaim voucher stlh itu,  klik """"checkout"""" pilih """"voucher"""" pilih voucher yg mau dgnkn. jk masih kendala infoin detailny di dm ya  :)^xf""";;;;
2737,ih keren bngt sukabumi dah bisa shopeefood wkwkwk https://t.co/XeZojzgCng,ih keren bngt sukabumi dah bisa shopeefood wkwkwk https://t.co/xezojzgcng;;;;;;
"2738,""Nyanyi dulu.....";;;;;;
#GrabMakanthon2021 ;;;;;;
#grabyourgifts ;;;;;;
#GrabFood ;;;;;;
#GrabFoodMulai10rb ;;;;;;
#gofood ;;;;;;
"#shopeefood https://t.co/qpNhjiTW3U"",""nyanyi dulu.....";;;;;;
#grabmakanthon2021 ;;;;;;
#grabyourgifts ;;;;;;
#grabfood ;;;;;;
#grabfoodmulai10rb ;;;;;;
#gofood ;;;;;;
"#shopeefood https://t.co/qpnhjitw3u""";;;;;;
"2739,""@dyxerc @txtdarionlshop Bisa langsung aja ke Grabfood, Gofood atau Shopeefood kk. """"Ahiihii Crispy Chicken"""" .";;;;;;
Atau DM ke saya juga bisa kk hehe;;;;;;
;;;;;;
"Terima kasih🙏😁"",""@dyxerc @txtdarionlshop bisa langsung aja ke grabfood, gofood atau shopeefood kk. """"ahiihii crispy chicken"""" .";;;;;;
atau dm ke saya juga bisa kk hehe;;;;;;
;;;;;;
"terima kasih🙏😁""";;;;;;
2740,Kalo di daerahku udh ada shopeefood udh pesen apa aja yg aku mau hft,kalo di daerahku udh ada shopeefood udh pesen apa aja yg aku mau hft;;;;;;
2741,shopeefood ni dah boleh stop bagi voucher kot😭😭😭,shopeefood ni dah boleh stop bagi voucher kot😭😭😭;;;;;;
2742,@Navyvester Bukan nev shopeefood 😂 aneh ya kenapa sih bisa melenceng ampe ke tengah waduk,@navyvester bukan nev shopeefood 😂 aneh ya kenapa sih bisa melenceng ampe ke tengah waduk;;;;;;
2743,-rek saranin seblak enak yg available digofood sm shopeefood dong,-rek saranin seblak enak yg available digofood sm shopeefood dong;;;;;;
"2744,""@baselanja Nikmati kesegaran dan manisnya teh&amp";coklat dengan nambah 7k 💚;;;;;
Langsung order ke ig @/tehdanco.klat atau via gofood/shopeefood 🤎;;;;;;
"Dom jkt https://t.co/ZPok0LzTJj"",""@baselanja nikmati kesegaran dan manisnya teh&amp";coklat dengan nambah 7k 💚;;;;;
langsung order ke ig @/tehdanco.klat atau via gofood/shopeefood 🤎;;;;;;
"dom jkt https://t.co/zpok0lztjj""";;;;;;
2745,@maureenmoz Jangan lupa aktifkan vouchernya ya Kak. Diskon banyak order di ShopeeFood 💃🏼,@maureenmoz jangan lupa aktifkan vouchernya ya kak. diskon banyak order di shopeefood 💃🏼;;;;;;
"2746,""Jangan lupa klaim voucher shopeefood dobel kenyang dobel diskon";;;;;;
;;;;;;
"https://t.co/yyRqC4w3Bo https://t.co/uTiYRldvHk"",""jangan lupa klaim voucher shopeefood dobel kenyang dobel diskon";;;;;;
;;;;;;
"https://t.co/yyrqc4w3bo https://t.co/utiyrldvhk""";;;;;;
2747,@RacunBelanja Shopeefood juga mincun,@racunbelanja shopeefood juga mincun;;;;;;
"2748,""Caranya : Order lewat aplikasi SHOPEEFOOD_ID dan tambahkan kode voucher diskon 60% + gratis ongkir (hanya tersedia di shopeefood_id)";;;;;;
;;;;;;
Dapatkan juga diskon di aplikasi GRABFOOD &amp;" GOFOOD (besar diskon berbeda di setiap aplikasi) https://t.co/WI0XZPZVwS"",""caranya : order lewat aplikasi shopeefood_id dan tambahkan kode voucher diskon 60% + gratis ongkir (hanya tersedia di shopeefood_id)";;;;;
;;;;;;
dapatkan juga diskon di aplikasi grabfood &amp;" gofood (besar diskon berbeda di setiap aplikasi) https://t.co/wi0xzpzvws""";;;;;
2749,kalian kalau gofood / grabfood / shopeefood paling sering beli apaa?  aku butuh inspirasi 🤗,kalian kalau gofood / grabfood / shopeefood paling sering beli apaa?  aku butuh inspirasi 🤗;;;;;;
"2750,""@SGDfess_ Seblak teh eva sebrang uin, tp terakhir kesana udh ga jualan:(";;;;;;
"Ada lg di shopeefood tp lupa namanya apa"",""@sgdfess_ seblak teh eva sebrang uin, tp terakhir kesana udh ga jualan:(";;;;;;
"ada lg di shopeefood tp lupa namanya apa""";;;;;;
2751,panjang umur driver shopeefood yg mau dititipin obat,panjang umur driver shopeefood yg mau dititipin obat;;;;;;
2752,@ShopeeID tolong dong diadain kolom komentar selesai bikin pesenan di shopeefood. Sedih bgt berkali2 zonk ditulisnya pake nasi trnyata datengnya gapake nasi :(,@shopeeid tolong dong diadain kolom komentar selesai bikin pesenan di shopeefood. sedih bgt berkali2 zonk ditulisnya pake nasi trnyata datengnya gapake nasi :(;;;;;;
2753,Akhirnya aku dapet diskon shopeefood 😭😭😭 https://t.co/S76eFjtkQJ,akhirnya aku dapet diskon shopeefood 😭😭😭 https://t.co/s76efjtkqj;;;;;;
"2754,""MULAI DARI 6 rb buat manisin harimu 🍵";;;;;;
Mumpung ada promo ☕️;;;;;;
Ongkir cuma 7K seJKT 💚;;;;;;
Cus ke ig @/tehdanco.klat;;;;;;
Bisa via ShopeeFood Gofood;;;;;;
"Fess https://t.co/iJROnlv8y6"",""mulai dari 6 rb buat manisin harimu 🍵";;;;;;
mumpung ada promo ☕️;;;;;;
ongkir cuma 7k sejkt 💚;;;;;;
cus ke ig @/tehdanco.klat;;;;;;
bisa via shopeefood gofood;;;;;;
"fess https://t.co/ijronlv8y6""";;;;;;
2755,Gabisa bayar COD ya ws! Kalo mau order shopeefood hrs top up shopee pay dulu ya. Hiks.. mana murah2 bgt https://t.co/aXgRHLGHMf,gabisa bayar cod ya ws! kalo mau order shopeefood hrs top up shopee pay dulu ya. hiks.. mana murah2 bgt https://t.co/axgrhlghmf;;;;;;
2756,Makanan jogja+shopeefood perpaduan yang mantul untuk menghemat,makanan jogja+shopeefood perpaduan yang mantul untuk menghemat;;;;;;
