,Tweetnya,Sentimen
111,pelanggarannya pakai promo shopeefood aneh promo klik makai akun kebatasi,7
112,shopeefood lucu,3
113,jog mas mbak driver shopeefood like rep ku ketuk dm terima kasih,4
114,ayam bakar paijo ayam bakarnya enak bumbunya meresap ketulang sambelnya enak lembut ayamnya potongannya harganya rb gofud shopeefood grabfood,23
115,aktif gilak iam proud keren pakai jaket oren ibuku bangga anaknya driver shopeefood,3
116,gofood shopeefood seng pakai grabfood pelit ambek diskone enak,9
117,id nunggu abang shopeefood gajian xixixii,1
118,habis order shopeefood ortu order makan makan siang habis kerja eh sosad,10
119,angin id kelanjutannya kak minggu kena order fiktif call cs belibet aplikasi dm titik temu,-6
120,nasi goreng de nok palmerah shopeefood pesan langsung diantar,8
121,ajarkan makai shopeefood,1
122,id permisii pesenannya dateng salah yaaa,-2
123,korban shopeefood pastiii,-4
124,info pesan anter kuliner via shopeefood surabaya promo kuliner cc id buka jam pagi sore online seninsabtu klik thanks,9
125,pengn shopeefood uang shshhs,0
126,mesenin shopeefood teman pas lihat drivernya namanya engga asing fotonya engga kezoom pas selesai pesan ngasi ulasan lihat foto drivernya teman pas auto ngasi tip dianya,26
127,hai kak maaf banget diinfokan admin dm pendaftaran kaka maksud driver merchant shopeefood selamat malam vi,11
128,pesan shopeefood nganter bapaknya jual mainan pas sd beliau hafal,8
129,ngomong-ngomong shopeefood saldo ku emng adnya dishopee ku grabfood ovo gaad dishopeedod belikan oke,3
130,id sistemnya sekian kali nemu driver lamaaaaaaaa proses pesanan posisi gerak samsek dichat dibalas call diangkat cancel nunggu gerak resto jam,2
131,td pakai shopeefood,0
132,terasai makan pakai shopeefood,1
133,kak nagita slavina borong cupbop order cupbopnya craving makanan korea yuk langsung order grabfood shopeefood gofood,10
134,jajan shopeefood,0
135,guis yuk order pangsit goreng spesial order langsung dm kenyang tersedia gofoodgrabfoodshopeefood cek instagram macronisfood dom malang jatim,8
136,yuk nyemil crospy sore sore lupa langsung order ojek online stby potongan harga gofood grabfood shopeefood traveloka eats,9
137,id hadir jatinangor sumedang,2
138,mauuuu ka ruby jajan shopeefood hihi,0
139,id sedi sopifud,-2
140,guis yuk diorder cemilannya menuprice list order langsung dm kenyang tersedia gofoodgrabfoodshopeefood cek instagram macronisfood dom malang jatim,3
141,numpang kak halo bekasi pesan makanan yuk aneka ricebowl snack yummy harga terjangkau promo lho cek aplikasi gofoodgrabfood shopeefood travelokaeats pilih menunya,11
142,shopeefood intraktir makan ortu dikit senangnya yaallah semoga one day kasih,5
143,bestnya lihat orang checkout shopeefood area takde shopeefood aaaa tt,1
144,kenal mantan satpam namanya teguh kena phk gara pandemi driver shopeefood beliau nunggu orderan warung nunggu bantu nyapu ngepel buangin sampah bantu natain air minum gratis ojek online sungkan,-12
145,uang wishlist banyakkl uang bingung beli saking banyaknya wishlist uangnya habis cuman shopeefood gopud,8
146,sadar order shopeefood kemarin ribu sepuluh ribu yawlo,2
147,astaga dimakan pas dijalan gadapet mangkok gskahsks konsep disuruh kea makan cilok kali wkwk murah shopeefood baso aci akang,6
148,senja nitip lapak jualan senja ricebox wagyu available jakarta dsk dipesan via gofoodgrabfoodshopeefood search senjayummy,1
149,senja nitip lapak jualan senja ricebox wagyu available jakarta dsk dipesan via gofoodgrabfoodshopeefood search senjayummy,1
150,ribu makanan minuman enakenak ck pastinya percaya order via grabfood id pakai,3
151,dom ku shopeefood wkwk,0
152,po mung sek rangerti carane shopeefood durung blas,0
153,shopeepayin nder shopeefood ditempatku,-3
154,berpindah hati shopeefood travel eat gofood deh ah grab asyik vocernya,3
155,fess cinta id,3
156,mentangmentng shopeefood murah jajan jajan jajan tekor,3
157,id gaji kepengen jajan shopee food uang,3
158,sarapan shopeefood gojek anak undian ahahaha,0
159,gila kali biaya layanan shopeefood rb lumayan jugeee ah gofood,6
160,shopeefood vocher potongan minimal beli,-3
161,dont worry kak stay tune akun social media shopee ketinggalan info terupdate seputar shopeefood sehat kakak cl,2
162,cobaan orang lapar id,-3
163,ngegosipnya makan burger kampoeng aloho burger yuk homemade patty berpadu saus special sayuran segar ketagihan potongan harga pemesanan gofood grabfood shopeefood lho link order klik,11
164,bobatime shopeefood ceray,0
165,shopeepay shopeefood error gagal pas bayar,-5
166,shopeefood tai makan bayar gara shopee pay gajelas,-7
167,shopeepay gangguan kah order shopeefood gagal pembayarannya,-7
168,pesan mcd shopeefood mcflurry dibales cek email updatesnya eh pemberitahuan wkkwkwkwk,-8
169,laper habis muntah kali niatnya pesan makan shopeefood sistemnya bermasalah bayar shopeepay aduh mencapekkk,-6
170,lotek makjiii tanggal tua pesan pakai shopeefood cari promo,-6
171,id ka kali,0
172,bubur ayam wempy thamrin shopeefood pesan langsung diantar,5
173,id minimal pesan gagal,-5
174,shopeefood error,-5
175,id voucher belanja shopee food,5
176,hmmm pesan jajanan shopeefood yuk kak hihi admin meluncur deluan kakak lupa nyusul yaw sehat kak cl,11
177,mewakili anak kos terima kasih shopeefood makan enak murceee,7
178,id rekening mbelendung promo sopifut xixixi,3
179,gofood grabfood shopeefood bole nnti ordernya pizza,0
180,sonata oke bagikan lok tinggal buka aplikasi shopeefood,4
181,id pengumuman giveaway pengumuman menang,6
182,id menunggu pesanan jam driver dibawah hubungi respon mohon dibantu solusinya,14
183,id id samarinda minimal,-3
184,nantikan admin tanggal gajian abang shopeefood xixixii,-6
185,lihat abang grab pakai tas shopeefood,3
186,huu wes ben berkah driver shopeefood isone curang ilo,-1
187,insaf lihat history order shopeefood,5
188,auntie annes promo shopee mantul sale cashback rupiah khusus pemesanan via shopeefood,3
189,driver grabgojekshopeefood uang parkir dikasih tip,7
190,wkwkwkwkwk tutup fp grab food gofood shopeefood,-2
191,wendys promo khusus gofood shopeefood harin,3
192,jujur cinta mati shopeefood,11
193,gojek grab best boy lihat shopeefood pusing gakpapa,-1
194,makji mama gamasak shopeefood ayam geprek money saldo spay,6
195,fess level mie setan udang rambutan lumpia udang barusan selesai makanrebu pakai shopeefood,-2
196,fess enggk gofood grabfood potongan harga shopeefood bestie,1
197,lupa beli makanan shopeefood mager rumah,3
198,amco sushi express promo poke nori taco menu rupiah tersedia via grabfood gofood shopeefood,5
199,bakso urat bakso bakso telor gila deh pakai shopeefood potong koin blengerrrr deh ah,1
200,buka shopeefood sejam akhirannya,3
201,jumat berkah ciamik nasi kotak simmental yuk promo gofood shopeefood lho,12
202,gila pesan shopeefood,5
203,omo promo guys shopeefood,4
204,tanggal tua ceria shopeepay day tanggal nikmati promo serunya shopeepay serba rupiah flash sale rupiah shopeefood potongan harga tunggu buka aplikasimu shopeepay cek,0
205,chatime pii promo shopeefood,3
206,shopeefood voucher disc suka,6
207,admin ledekin admin traktir shopeefood,0
208,shopeefood driver jumatan dosa,-2
209,dipikir order delivery food takes time nentuin makan pas kantong habis dibandingin harganya aplikasi grab gofood shopeefood,8
210,lm dititipin pesan shopeefood gaaa tolong drop v,2
211,day chizu ordered coffee cheese extra cheese pudding lagisedap gils korang claim voucher free delivery kat shopeefood jimat,5
212,nama shopeefood gatemu,0
213,kesal pesan shopeefood pas istirahat kerja drivernya posisinya gerak bales chat jam curga jumatan dimatikan aplikasinya haduhhhh shopeefood batalin pesenan,11
214,geprek bensu atasi laparmu yuk order geprek bensu banget promo nikmati outlet geprek bensu langsung order via grabfood gofood shopeefood eatsbytraveloka,5
215,id nahlohh,0
216,yaallah shopeefood spay perak sedih wkwkwkwkk,-4
217,pekerjaan yeayyyy driver shopeefood,2
218,kenape drtd resto shopeefood ngidam keju eh dikasi coklat bedanya,-7
219,tanggal tua makan jajan enak apapun nikmatin promo flash sale rupiah shopeepay serba rupiah shopeefood potongan harga cus cek infonya,-8
220,ketagihan pesan makan shopeefood deh,0
221,niat shopeefood saldo gope astaga literally perak wkwkwk,9
222,gila shopeefood promonya grab bohongan astaga,1
223,shopeefood potongan harga saranin bube,1
224,oalahh outlet janjiw toast rumahku shopeefood,3
225,wts voucher shopee ready gratis ongkir ready shopee food sampk dm cek harga duluu gass dm fee murce wtb wts need jual beli vc voucher voc gratong shopee minbel shopee food shopeefood,14
226,yoshinoya budgetku hokben potongan harga shopeefood,1
227,haloo voucher shopeefood potongan samaa fee nyaa kk,4
228,jual cake kat shopeefood tibeh nak makan,2
229,fess beli sushi attack ichikuma shopeefood,2
230,auto shopeefood weh nasib murah free delivery potongan harga,7
231,besok rumah tinggal desa ah merasakan promo shopeefood makanan enak,11
232,icm venti myr je shopeefood,0
233,hai admin pendapatan resto shopeefood transfer kerja transfer bingung mutar uang modal,9
234,hola holaaa holaaaaa gembira banget menyambut weekend jumatnya semangat yuk pesan kemayoran gofood grabfood shopeefood,21
235,khusus shopeefood karenaa menang hexa langsung pesenin darii aplikasi punyaa hexa siapinn alamat privasi aman bocor sepertii drop bisaa diuangkan mohon maaf habis jumatan jam goodluck,1
236,pipel aduh bu marni shopeefood mending langsung,6
237,shopeefood,0
238,shopeefood coba makai shopeefood,2
239,oke oke benaran hahaha jumat berkah hexa sponsor beliin kopiijajan orang rep tweet syaratnya daerah rumahnya shopeefood rep bebas hexa pilih random pakai tools adil square bagus luck,16
240,shopeefood kak grab coba cek,-2
241,grabshopeefood mutt,0
242,sayang banget rumahku shopeefood,7
243,lihat croissant geprek shopeefood sebiji rb deh wkwk,-2
244,daeraah udaah shopeefood,0
245,bobby senja nitip lapak jualan senja ricebox wagyu available jakarta dsk dipesan via gofoodgrabfoodshopeefood search senjayummy,1
246,seram kak senja nitip lapak jualan senja ricebox wagyu available jakarta dsk dipesan via gofoodgrabfoodshopeefood search senjayummy,-3
247,takut tanggal tua tanggal tua gembira oktober nikmati flash sale rupiah shopeefood potongan harga shopeepay serba rupiah cus cek,-10
248,selat solo beli grab foodgofood shopeefood,4
249,shopeefood andalanku jogja,5
250,bismillah bantu jemput rezeki shopeefood wkwk,10
251,shopee dom ku shopeefood,0
252,shopeefood menopang hidup anak kos seengganya promonya murah hati xixixi lt,4
253,shopeefood nder versi,0
254,kak rrrra ayo dom gwen nantii beli shopeefood,4
255,suami gojek istri shopeefood compare harga promo sederhana memakan menitan urusan perut buatku sesimple gambaran pria wkwk,16
256,pagi diawali salah mencet lokasi shopeefood maraaaaaah,-1
257,shopeefood,0
258,shopeefood voucher,3
259,sep jujur pakai titidije order shopeefood gofood mesti kurirnya,1
260,pagi pagi rekomen shopeefood aslii kemarin jajan hshshs,4
261,ayo seng senengane tuku mangan gae gofoodgrabfoodshopeefood ojo lali split bill,0
262,hai kak mohon maaf ketidaknyamanannya terkait kendala kakak infokan nomor pesanan shopeefood dm bantu cek kak ditunggu ck,7
263,gojek ajashopeefood,0
264,lupa klaim voucher shopeefood,4
265,pesan makan terlama id pesan lele goreng habis terpaksa ganti ayam goreng nambah ribu uang pas pasan tinggal segitu segitunya cancel,6
266,orderan shopeefood warung drivernya kelas ngalong paginya sekolah kerennya pas pergi anter pesenan pamitan salim ayah ibuk semangat cari cuan adeeeek,12
267,mouraa xiboba membeli get croffle pakai voucher shopeefood,5
268,shopeefood grabfood promo bandung,2
269,id tunggu nantii jajan muterin semoga,0
270,shopeefood esteh jauhh bngttttttt mahalan ongkirnya minumannya sballlllll,-2
271,done step semoga rezeki beli mknn shopeefood semoga bertmbh jugak rezeki pemberi amin,15
272,id berkali kali driver shopeefud map gerak dicancel order jam drivernya gerak resto chat bilangnya tunggu terparah jam makanannya plis plis jengkel ih,-4
273,abi nunggu shopeefood tidur untung ketahuan pesan haddeuh,15
274,patungan sedekah mcd shopeefood,0
275,wkwkwk shopeefood kyo asu,-2
276,info le ndue resto shopeefood e banter boss izin ngiperi,-7
277,tidur suka seram dihantuin discount shopeefood,2
278,rekomendasiin sop iga jontor balonggede murah enak banget iganya pelit sambelnya mantep beli shopeefood harganya pakai voucher murah banget porsi rb,29
279,diselingi shopeefood kak ben lelah banget,5
280,pesan shopeefood tenang abangnya otw,7
281,cafe gara lihat shopeefood rating bagus menunya variatifada makanan berat jajanan minuman pesan greentea kentang goreng grenteanya enak cuss meluncur,7
282,daftarin warung shopeefood susyahhh,0
283,pokoknya dom jakarta utara terserah shopeefood mah curhat ketinggalan tidur beb kepala pusing sekaleh,7
284,ka ara manaa jawa gaadaa shopeefood,0
285,rekomendasi makanan minuman semarang daerah banyumanik tembalang order id thread,-2
286,shopeefood wkwk pesan rotbak jam set abangny,2
287,pernahnya nyisa makan sehari mencari promo grabfood shopeefood nemu promo makanan ongkir posisinya beras stok makanan galon kosan,1
288,beli ct via shopeefood potongan harga,3
289,shopeefood rest area tol deketku kak masuknya dom kabupaten semarang,-3
290,dirumah kak memesan shopeefood yukkkkss,3
291,balikin akunku huhu ku ngrasain promo shopeefood,3
292,pengaplikasian game theory pengambilan keputusan menu shopeefood tengs kakel terterter ide emang mantuliti endolita,-4
293,ngomong-ngomong ku buka reply ayo dom pakai shopeefood reply qrt dom kali mudah dijajanin,15
294,kerecehan abang shopeefood wkwkwk,-1
295,makanan enakan shopeefood belanja enakan tokped cashback,13
296,shopeefood saldo,2
297,gojekku jam mutar mutar ajaaa untung shopeefood,3
298,shopeefood gojek adamekdi aemua dikota ku,-1
299,aminn ku doakan ara suami perusahaan shopee shopeefood buka makasar,8
300,menyesal beli seblak shopeefood pedes pedesnya,1
301,funfact kali mkn basreng tgl okto kemarin itupun orisinil pesan shopeefood mean basreng enak beli jatuh cinta basreng kemana basreng enak woi,16
302,shopeefood potongan harga sayang banget dom ku,5
303,seragam oren shopeefood pemuda pancasila,3
304,malu banget guys manggil mba mas mas shopeefood profilenya laki pas dateng perawakannya muda maaf mas,9
305,parah shopeefood error jelek,-15
306,pensiun coboy junior lulus kuliah driver shopeefood,-1
307,katerungan mbak pujasera katerungan gofood shopeefood,0
308,fess gofood shopeefood promo dititipi beli,5
309,yuk kvoc shoppe spay cek harga voc shopeefood sopifut voc goride voucher,6
310,laper scroll shopeefood order kopi,-3
311,shopeefood murah huhu bersyukur,8
312,dear kali orderan shopeefood fiktif mengatas nama nomer tlp kirim alamat kantor rumah nominal rb juta juta driver rugikan tlp cs solusi,5
313,subway masuk gofood grabfood shopeefood,-3
314,nonsensor ig,0
315,tempatku gd shopeefood,-3
316,shopeefood adekk,0
317,knpa ongkir shopeefood mahal,1
318,diam makan bawaannya buka shopeefood order gembus deh,6
319,belanja soymilk sayur dressing oat belanja mayan mahal tapiiiiiii diatur uang rekening cepeeet mengalir shopeefood potongan harga boros syetaaaaan murah diembat,4
320,dips kasih resto jual churros enak dibeli grabgojekshopeefood,10
321,shopeefood gojek mehong,0
322,update shopee nak try shopeefood cover johor,3
323,takut tanggal tua besok promo banyaaaak banget promo nikmatin shopeepay serba rupiah flash sale rupiah shopeefood potongan harga cek info lengkapnya,-4
324,shopeefood kedainya delivery distance bagitau checkout spend minit pilih makanan know know kenot deliver sakit,-6
325,uang habis shopeefood ae mah,3
326,shopeefood fitur chatnya drivernya banget masuk kos teriak heran,0
327,mas mas shopeefood teman teman akrab,3
328,id reminder minimal berbagi,-1
329,kebiasaan pakai shopeefood eh td pakai grab drivernya kerja shopeefood nanya tumben pakai grab mbak,1
330,mantap shopeepay belanja jajan shopeefood allah boros kali,7
331,bapaknya lucult,0
332,pesan makan pakai shopeefood split bill,3
333,tolong id perhatikan sikap drivernya kecewa pesanan kesal pelayanan shopee food,13
334,guis yuk diorder cemilannya menuprice list order langsung dm kenyang tersedia gofoodgrabfoodshopeefood cek instagram macronisfood dom malang jatim,3
335,pesan via id emang promo eh sikap drivernya mengenakan dibanding driver drivernya id buruk sumpah emang driver sumpah kesal,12
336,promo wendys paket spesial khusus gofoodshopeefood rupiah klik link info selengkapnya,10
337,chat tlpn dimarahmarahin driver id grgr ngasig rate sesuai sayapun rate rendah kasih tips kesal penilaian sikapnya sopan,15
338,drivernya nyolot nyuruh lihat titik perasaan pesan id titik drivernya ramah ngerti alamat driver maps shopee suka salah,4
339,sumpah ngerti salah driver id alamat sesuai tinggal driver nanya titik alamatnya sesuai titik salah cont,-4
340,asli seram banget hujannya pesan shopeefood kasiang memangnya,6
341,makasih shopeefood,4
342,shopeefood jajan,0
343,guis hujan enaknya order pangsit goreng spesial yukk order langsung dm kenyang tersedia gofoodgrabfoodshopeefood cek instagram macronisfood dom malang jatim,14
344,circle jalan kaki mnt ak pesan shopeefood,2
345,nasi goreng de nok palmerah shopeefood pesan langsung diantar,8
346,potongan harga shopeefood nugget rb rb lupa claim voucher silahkan klik link,5
347,deh shopeefood makanannya decs bingung isinya,3
348,guis yuk diorder cemilannya menuprice list order langsung dm kenyang tersedia gofoodgrabfoodshopeefood cek instagram macronisfood dom malang jatim,3
349,ramai banget yaaa kaleee beli bakso budeh pur gofood grabfood shopeefood,6
350,drama uang ditahan laku akibat promo shopee prabowo subianto akibat promo shopee resto laku suspend mencurigakan lengkap baca cc cc id,8
351,jumat makan hemat banget cj free western beefbac cheeseburger pembelian western beefbac cheeseburger berlaku dine take away drive thru pesan grabfood gofood shopeefood one stop cj,18
352,driver id jogja akhlakless sejam dichat dibls cancel,0
353,order shopeefood drivernya meksiko,0
354,cinta lagiii nemu nasi padang enaq shopeefood eandom pilih bintangnya murceuu parah enak double combo yuhu alhamdulillah,6
355,nama menu ab yuk langsung order ojek online stby potongan harga gofood grabfood shopeefood traveloka eats,11
356,kirain buka grabfood gofood shopeefood bingung makna scroll scroll menitan,8
357,pesan shopeefood hujan deres kasihan drivernya,8
358,pakai shopeefood itupun beli lauk warung tutup,-2
359,shopeefood vocnya harii cek b,-4
360,sbucks shopeefood potongan harga sumpa bli,1
361,jajan gofoodshopeefood grabfood aplikasi,-4
362,mengsedih tempatku shopeefood,-3
363,butuh kehangatan wis rasah galau sik duwe pacar mie godog sambat memberikanmu kehangatan sekedar pacar warung mbah sambat dine intake away pesan gofoodshopeefood,5
364,benerrr sbucks promo shopeefood makjii ayo minum kopi stres panas,4
365,orang bandung mah makan split blill engga damagenya dompet malas rumah cari shopeefood mamang shopeefood kirim brader beuteung sebeuh dompet weteuh,-6
366,shopeefood gofood ituu,0
367,md yuk diorder pangsit goreng spesialnya menuprice list order langsung dm kenyang tersedia gofoodgrabfoodshopeefood cek instagram macronisfood dom malang jatim,8
368,driver shopeefood mantap joki balap kali,5
369,tunggu voucher shopeefood,4
370,cabang tlogo avail shopeefood beli minum cabang gajah,-1
371,asli pesan gofood mahal potongan shopeefood,3
372,dikantor shopeefood pemborosan order makan online,-4
373,guis kali self pick untung driver shopeefood kasir diajak ngobrol ngobrol bapaknya pulang duluan pamitan kali deh self pick seruuu,10
374,shopeefood promonya macemmacem klaim gratis ongkir potongan harga nambah promonya,5
375,klik shopeefood hujan,1
376,shopeefood,0
377,ampun shopeefood,1
378,beli langsung gojek shopeefood,5
379,makanan shopeefood enak buka puasa,7
380,grabfood shopeefood masasih tutup astaga mcd,1
381,coba kfc shopeefood whyyyy,2
382,numpang kak halo bekasi pesan makanan yuk aneka ricebowl snack yummy harga terjangkau promo lho cek aplikasi gofoodgrabfood shopeefood travelokaeats pilih menunya,11
383,gsp senja nitip lapak jualan senja ricebox wagyu available jakarta dsk dipesan via gofoodgrabfoodshopeefood search senjayummy,1
384,id pengajuan shoppefood partner kejelasan juni,-2
385,ngomong-ngomong lethcy tea rebu gelasnya ramping yaallah mahal yha first date street food like sate padang seblak dimention nantii habis shopeefood,2
386,sayang order sbux via shopeefood whipped creamnya gasi,-1
387,tempatku mcd shopeefood,-3
388,shopeefood disc rb,0
389,tim pilih menu topup saldo topup saldo pesan makan,1
390,capek banget hp tua berulah order shopeefood anjirrrrrr reinstall,-2
391,pesan shopeefood cash tips abangnya ku bikinin es kopi susu botol kemasan ml mama nanya ka mas shopee kopi cash mama ngasi uang ka kasih masnya,18
392,id salah minimal pergi jajannya pakai shopeefood,-6
393,scroll menu shopeefood selesai bingung pesan shshhs,4
394,oh shopeefood restaurant fee,0
395,shopeefood enak dibeliin,4
396,maxim abangnya pakai jaket grab helmnya gojek helm shopeefood,0
397,kopi kenangan promo potongan harga pembayaran shopeepay pemesanan via shopeefood,8
398,diet kos ambil makan malas pesan shopeefood scroll,-9
399,id kak tolongin teman kasihan makan,5
400,nunggu shopeefood,1
401,dom ku shopeefood grabfood,0
402,haaaa shopeefood mehlah try,0
403,jajan shopeefood rb allah nangis ajalah malas topup,-3
404,shopeefood teh ngomong-ngomong selamat makan,7
