,Tweets,Case_Folding,Clean_Data,Tweet_Normal,Tanpa_StopWords,Stemming,Sentimen,Label
10,"@shopeefood_id Seblak 😍😍 tinggal shopeefood deh, ada diskon 25% + gratis ongkir, terbaik 🥳🥳🥳","@shopeefood_id seblak 😍😍 tinggal shopeefood deh, ada diskon 25% + gratis ongkir, terbaik 🥳🥳🥳",id seblak tinggal shopeefood deh ada diskon gratis ongkir terbaik,id seblak tinggal shopeefood deh ada potongan harga gratis ongkir terbaik,id seblak tinggal shopeefood deh potongan harga gratis ongkir terbaik,"['id', 'seblak', 'tinggal', 'shopeefood', 'deh', 'potong', 'harga', 'gratis', 'ongkir', 'baik']",1,positif
11,"@kkrystalized_ shopeefood aja sampe nunggu 2,5 jam saya 😭👌","@kkrystalized_ shopeefood aja sampe nunggu 2,5 jam saya 😭👌",shopeefood aja sampe nunggu jam saya,shopeefood aja sampai nunggu jam saya,shopeefood nunggu jam,"['shopeefood', 'nunggu', 'jam']",1,positif
12,"Yuk supaya momen kamu bareng temen jadi lebih seru, jangan lupa klik https://t.co/HnQLM1HzYw dan  beli makanan favorit kamu di ShopeeFood yaa!&lt;3","yuk supaya momen kamu bareng temen jadi lebih seru, jangan lupa klik https://t.co/hnqlm1hzyw dan  beli makanan favorit kamu di shopeefood yaa!&lt;3",yuk supaya momen kamu bareng temen jadi lebih seru jangan lupa klik dan beli makanan favorit kamu di shopeefood yaalt,yuk supaya momen kamu bersama teman jadi lebih seru jangan lupa klik dan beli makanan favorit kamu di shopeefood yaalt,yuk momen teman seru lupa klik beli makanan favorit shopeefood yaalt,"['yuk', 'momen', 'teman', 'seru', 'lupa', 'klik', 'beli', 'makan', 'favorit', 'shopeefood', 'yaalt']",1,positif
13,"Akhir pekan bersama keluarga makin istimewa dengan Paket Family Weekend McD

Mulai 90 ribuan, bisa dapat menu buat bertiga &amp; GRATIS permainan seru yang bisa kamu mainkan bersama keluarga, hemat hingga 40%!😍

Yuk pesan di McDonald's atau McDelivery, GoFood, GrabFood &amp; ShopeeFood! https://t.co/sV6lt9h8Ev","akhir pekan bersama keluarga makin istimewa dengan paket family weekend mcd

mulai 90 ribuan, bisa dapat menu buat bertiga &amp; gratis permainan seru yang bisa kamu mainkan bersama keluarga, hemat hingga 40%!😍

yuk pesan di mcdonald's atau mcdelivery, gofood, grabfood &amp; shopeefood! https://t.co/sv6lt9h8ev",akhir pekan bersama keluarga makin istimewa dengan paket family weekend mcd mulai ribuan bisa dapat menu buat bertiga amp gratis permainan seru yang bisa kamu mainkan bersama keluarga hemat hingga yuk pesan di mcdonalds atau mcdelivery gofood grabfood amp shopeefood,akhir pekan bersama keluarga makin istimewa dengan paket family weekend mcd mulai ribuan bisa dapat menu buat bertiga amp gratis permainan seru yang bisa kamu mainkan bersama keluarga hemat hingga yuk pesan di mcdonalds atau mcdelivery gofood grabfood amp shopeefood,pekan keluarga istimewa paket family weekend mcd ribuan menu bertiga gratis permainan seru mainkan keluarga hemat yuk pesan mcdonalds mcdelivery gofood grabfood shopeefood,"['pekan', 'keluarga', 'istimewa', 'paket', 'family', 'weekend', 'mcd', 'ribu', 'menu', 'tiga', 'gratis', 'main', 'seru', 'main', 'keluarga', 'hemat', 'yuk', 'pesan', 'mcdonalds', 'mcdelivery', 'gofood', 'grabfood', 'shopeefood']",1,positif
14,YUHUUUU SLOT SORE SUDAH READY GENGGGGSSS! Yukkk langsung ke gofood grabfood shopeefood 😋😋😋,yuhuuuu slot sore sudah ready genggggsss! yukkk langsung ke gofood grabfood shopeefood 😋😋😋,yuhuuuu slot sore sudah ready genggggsss yukkk langsung ke gofood grabfood shopeefood,yuhuuuu slot sore sudah ready genggggsss ayo langsung ke gofood grabfood shopeefood,yuhuuuu slot sore ready genggggsss ayo langsung gofood grabfood shopeefood,"['yuhuuuu', 'slot', 'sore', 'ready', 'genggggsss', 'ayo', 'langsung', 'gofood', 'grabfood', 'shopeefood']",1,positif
15,"ketika bingung mau split bill orderan gojek/grab/shopeefood 
solusi : https://t.co/Yz2duVvQmI","ketika bingung mau split bill orderan gojek/grab/shopeefood 
solusi : https://t.co/yz2duvvqmi",ketika bingung mau split bill orderan gojekgrabshopeefood solusi,ketika bingung mau split bill orderan gojekgrabshopeefood solusi,bingung split bill orderan gojekgrabshopeefood solusi,"['bingung', 'split', 'bill', 'order', 'gojekgrabshopeefood', 'solusi']",1,positif
16,"Ada yang pernah akun shopeenya tbtb dihapus, tulisannya ditinjau ga? Katanya gara gara ngelanggar shopeefood. Bingung bgt dah padahal kan kita cuman pesen shopeefood knp jadi bgini dah","ada yang pernah akun shopeenya tbtb dihapus, tulisannya ditinjau ga? katanya gara gara ngelanggar shopeefood. bingung bgt dah padahal kan kita cuman pesen shopeefood knp jadi bgini dah",ada yang pernah akun shopeenya tbtb dihapus tulisannya ditinjau ga katanya gara gara ngelanggar shopeefood bingung bgt dah padahal kan kita cuman pesen shopeefood knp jadi bgini dah,ada yang pernah akun shopeenya tiba tiba dihapus tulisannya ditinjau tidak katanya gara gara ngelanggar shopeefood bingung begitu sudah padahal kan kita cuman pesan shopeefood kenapa jadi begini sudah,akun shopeenya dihapus tulisannya ditinjau gara gara ngelanggar shopeefood bingung cuman pesan shopeefood,"['akun', 'shopeenya', 'hapus', 'tulis', 'tinjau', 'gara', 'gara', 'ngelanggar', 'shopeefood', 'bingung', 'cuman', 'pesan', 'shopeefood']",0,negatif
17,"@oohssehnn hi cwk, kirimin shopeefood donk😉","@oohssehnn hi cwk, kirimin shopeefood donk😉",hi cwk kirimin shopeefood donk,hi cwk kirimin shopeefood donk,hi cwk kirimin shopeefood donk,"['hi', 'cwk', 'kirimin', 'shopeefood', 'donk']",1,positif
18,"cu bgt liat mas"" shopeefood pake jaket oren, helm oren, vespa oren. sangat eye catching","cu bgt liat mas"" shopeefood pake jaket oren, helm oren, vespa oren. sangat eye catching",cu bgt liat mas shopeefood pake jaket oren helm oren vespa oren sangat eye catching,lucu begitu lihat mas shopeefood pakai jaket oren helm oren vespa oren sangat eye catching,lucu lihat mas shopeefood pakai jaket oren helm oren vespa oren eye catching,"['lucu', 'lihat', 'mas', 'shopeefood', 'pakai', 'jaket', 'oren', 'helm', 'oren', 'vespa', 'oren', 'eye', 'catching']",1,positif
19,kapan di daerah gue ada shopeefood??,kapan di daerah gue ada shopeefood??,kapan di daerah gue ada shopeefood,kapan di daerah saya ada shopeefood,daerah shopeefood,"['daerah', 'shopeefood']",2,netral
20,GUA MESEN SHOPEEFOOD 15 MENIT LALU UDAH NELFON ABIS NELFON DIA NGILANG GITU AJA????,gua mesen shopeefood 15 menit lalu udah nelfon abis nelfon dia ngilang gitu aja????,gua mesen shopeefood menit lalu udah nelfon abis nelfon dia ngilang gitu aja,saya  pesan shopeefood menit lalu sudah telepon habis telepon dia ngilang begitu aja,pesan shopeefood menit telepon habis telepon ngilang,"['pesan', 'shopeefood', 'menit', 'telepon', 'habis', 'telepon', 'ngilang']",1,positif
21,@shopeefood_id gorengan bakri 😊,@shopeefood_id gorengan bakri 😊,id gorengan bakri,id gorengan bakri,id gorengan bakri,"['id', 'goreng', 'bakri']",1,positif
22,@shopeefood_id Seblak,@shopeefood_id seblak,id seblak,id seblak,id seblak,"['id', 'seblak']",2,netral
23,@shopeefood_id Ikan bakar,@shopeefood_id ikan bakar,id ikan bakar,id ikan bakar,id ikan bakar,"['id', 'ikan', 'bakar']",1,positif
24,Pergi kl semata mata nk guna shopeefood 😔👍🏻,pergi kl semata mata nk guna shopeefood 😔👍🏻,pergi kl semata mata nk guna shopeefood,pergi kalau semata mata nk guna shopeefood,pergi mata nk shopeefood,"['pergi', 'mata', 'nk', 'shopeefood']",0,negatif
25,"shopeefood ini bisa difilter ga sih, jadi paling deket ini nyari yg keluar 5km lebih semua yg dibawah 2km harus scroll ke bawah dulu","shopeefood ini bisa difilter ga sih, jadi paling deket ini nyari yg keluar 5km lebih semua yg dibawah 2km harus scroll ke bawah dulu",shopeefood ini bisa difilter ga sih jadi paling deket ini nyari yg keluar km lebih semua yg dibawah km harus scroll ke bawah dulu,shopeefood ini bisa difilter tidak sih jadi paling dekat ini mencari yang keluar kamu lebih semua yang dibawah kamu harus scroll ke bawah dulu,shopeefood difilter mencari dibawah scroll,"['shopeefood', 'filter', 'cari', 'bawah', 'scroll']",0,negatif
26,@injooniees pake shopeefood coba kan ada gratis ongkirr,@injooniees pake shopeefood coba kan ada gratis ongkirr,pake shopeefood coba kan ada gratis ongkirr,pakai shopeefood coba kan ada gratis ongkir,pakai shopeefood coba gratis ongkir,"['pakai', 'shopeefood', 'coba', 'gratis', 'ongkir']",1,positif
27,"Beli shopeefood pas dateng kenapa aing nanya ""gofood ya?"" Malu dong ga fokus kebiasaan gofood atuda🤣🤣","beli shopeefood pas dateng kenapa aing nanya ""gofood ya?"" malu dong ga fokus kebiasaan gofood atuda🤣🤣",beli shopeefood pas dateng kenapa aing nanya gofood ya malu dong ga fokus kebiasaan gofood atuda,beli shopeefood pas dateng kenapa saya nanya gofood ya malu dong tidak fokus kebiasaan gofood atuda,beli shopeefood pas dateng nanya gofood malu fokus kebiasaan gofood atuda,"['beli', 'shopeefood', 'pas', 'dateng', 'nanya', 'gofood', 'malu', 'fokus', 'biasa', 'gofood', 'atuda']",1,positif
28,Apa makanan wajib kamu kalo bareng temen?,apa makanan wajib kamu kalo bareng temen?,apa makanan wajib kamu kalo bareng temen,apa makanan wajib kamu kalau bersama teman,makanan wajib teman,"['makan', 'wajib', 'teman']",0,negatif
29,"Pacarku cerita nganterin orderan shopeefood ke kosan (maaf) bencong, sampe sana niatnya ramah bilangin namanya cantik kayak orangnya, trus si yang order ini langsung to the point. “Mas aku isepin ya k*ntl nya?” WKOWKWOWKWOWKWOWKWOWKWOWKWOWKKWOWKWOWKOWWKOW","pacarku cerita nganterin orderan shopeefood ke kosan (maaf) bencong, sampe sana niatnya ramah bilangin namanya cantik kayak orangnya, trus si yang order ini langsung to the point. “mas aku isepin ya k*ntl nya?” wkowkwowkwowkwowkwowkwowkwowkkwowkwowkowwkow",pacarku cerita nganterin orderan shopeefood ke kosan maaf bencong sampe sana niatnya ramah bilangin namanya cantik kayak orangnya trus si yang order ini langsung to the point mas aku isepin ya kntl nya wkowkwowkwowkwowkwowkwowkwowkkwowkwowkowwkow,pacarku cerita nganterin orderan shopeefood ke kosan maaf bencong sampai sana niatnya ramah bilangkan namanya cantik seperti orangnya terus si yang order ini langsung to the point mas saya isepin ya kntl nya wkowkwowkwowkwowkwowkwowkwowkkwowkwowkowwkow,pacarku cerita nganterin orderan shopeefood kosan maaf bencong niatnya ramah bilangkan namanya cantik orangnya order langsung point mas isepin kntl wkowkwowkwowkwowkwowkwowkwowkkwowkwowkowwkow,"['pacar', 'cerita', 'nganterin', 'order', 'shopeefood', 'kosan', 'maaf', 'bencong', 'niat', 'ramah', 'bilang', 'nama', 'cantik', 'orang', 'order', 'langsung', 'point', 'mas', 'isepin', 'kntl', 'wkowkwowkwowkwowkwowkwowkwowkkwowkwowkowwkow']",1,positif
30,@jibrilss15 @jibrilbangi Syukur... done beli via ShopeeFood https://t.co/w5f34kaKf3,@jibrilss15 @jibrilbangi syukur... done beli via shopeefood https://t.co/w5f34kakf3,syukur done beli via shopeefood,syukur done beli via shopeefood,syukur done beli via shopeefood,"['syukur', 'done', 'beli', 'via', 'shopeefood']",1,positif
31,"KESEL BGT BELI SHOPEEFOOD LUPA NYALAIN DISKON VOC SAMA FREE ONGKIR. 

MANA JAUH SAMA MAHAL 😭😭😭😭😭😭😭","kesel bgt beli shopeefood lupa nyalain diskon voc sama free ongkir. 

mana jauh sama mahal 😭😭😭😭😭😭😭",kesel bgt beli shopeefood lupa nyalain diskon voc sama free ongkir mana jauh sama mahal,kesal begitu beli shopeefood lupa nyalahkan potongan harga voc sama free ongkir mana jauh sama mahal,kesal beli shopeefood lupa nyalahkan potongan harga voc free ongkir mahal,"['kesal', 'beli', 'shopeefood', 'lupa', 'nyalahkan', 'potong', 'harga', 'voc', 'free', 'ongkir', 'mahal']",1,positif
32,2 nasi padang lauk ayam sama sayur + es teh cuman 15k 😭 shopeefood aku padamuuu huhuhuu,2 nasi padang lauk ayam sama sayur + es teh cuman 15k 😭 shopeefood aku padamuuu huhuhuu,nasi padang lauk ayam sama sayur es teh cuman k shopeefood aku padamuuu huhuhuu,nasi padang lauk ayam sama sayur es teh cuman ke shopeefood saya padamu huhuhuu,nasi padang lauk ayam sayur es teh cuman shopeefood padamu huhuhuu,"['nasi', 'padang', 'lauk', 'ayam', 'sayur', 'es', 'teh', 'cuman', 'shopeefood', 'pada', 'huhuhuu']",2,netral
33,@Mundur41149832 shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan?,@mundur41149832 shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan?,shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan,shopeefood kalau tidak punya shopepay tidak bisa dapat voucernya kan,shopeefood shopepay voucernya,"['shopeefood', 'shopepay', 'voucernya']",2,netral
34,"Spaghetti Aglio E Olio biasa? bukan! spaghetti masakane simbah sing iki dimasak pake bumbu Roa, cocok nggo ilat indonesia,  dijamin nampolll

Ada di warung mbah sambat. Bisa dine in/take away. Bisa juga pesen lewat GoFood/ShopeeFood. https://t.co/z4FOgTK66V","spaghetti aglio e olio biasa? bukan! spaghetti masakane simbah sing iki dimasak pake bumbu roa, cocok nggo ilat indonesia,  dijamin nampolll

ada di warung mbah sambat. bisa dine in/take away. bisa juga pesen lewat gofood/shopeefood. https://t.co/z4fogtk66v",spaghetti aglio e olio biasa bukan spaghetti masakane simbah sing iki dimasak pake bumbu roa cocok nggo ilat indonesia dijamin nampolll ada di warung mbah sambat bisa dine intake away bisa juga pesen lewat gofoodshopeefood,spaghetti aglio e olio biasa bukan spaghetti masakane simbah orang ini dimasak pakai bumbu roa cocok nggo ilat indonesia dijamin nampol ada di warung mbah sambat bisa dine intake away bisa juga pesan lewat gofoodshopeefood,spaghetti aglio e olio spaghetti masakane simbah orang dimasak pakai bumbu roa cocok nggo ilat indonesia dijamin nampol warung mbah sambat dine intake away pesan gofoodshopeefood,"['spaghetti', 'aglio', 'e', 'olio', 'spaghetti', 'masakane', 'simbah', 'orang', 'masak', 'pakai', 'bumbu', 'roa', 'cocok', 'nggo', 'ilat', 'indonesia', 'jamin', 'nampol', 'warung', 'mbah', 'sambat', 'dine', 'intake', 'away', 'pesan', 'gofoodshopeefood']",0,negatif
35,"Ngakak + malu banget, masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk","ngakak + malu banget, masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk",ngakak malu banget masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk,ketawa malu banget masa pesan shopeefood kirimnya ke titik yang jelas jelas sudah tutup cabang nya wkwk,ketawa malu banget pesan shopeefood kirimnya titik tutup cabang wkwk,"['ketawa', 'malu', 'banget', 'pesan', 'shopeefood', 'kirim', 'titik', 'tutup', 'cabang', 'wkwk']",1,positif
36,"barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel, boleh diorder ayam bakar mamaku, available on grabfood, gofood, dan shopeefood :D keywordnya Ayam Bakar Mak Tuo Pasar rumput, makan ditempat pun bisa, lokasinya di gedung pasar rumput lt. 3 ruko 20","barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel, boleh diorder ayam bakar mamaku, available on grabfood, gofood, dan shopeefood :d keywordnya ayam bakar mak tuo pasar rumput, makan ditempat pun bisa, lokasinya di gedung pasar rumput lt. 3 ruko 20",barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel boleh diorder ayam bakar mamaku available on grabfood gofood dan shopeefood d keywordnya ayam bakar mak tuo pasar rumput makan ditempat pun bisa lokasinya di gedung pasar rumput lt ruko,barangkali ada yang tinggal di sekitar daerah pasar rumput manggarai jaksel boleh diorder ayam bakar mamaku available on grabfood gofood dan shopeefood di keywordnya ayam bakar mak tuo pasar rumput makan ditempat pun bisa lokasinya di gedung pasar rumput lt ruko,barangkali tinggal daerah pasar rumput manggarai jaksel diorder ayam bakar mamaku available grabfood gofood shopeefood keywordnya ayam bakar mak tuo pasar rumput makan ditempat lokasinya gedung pasar rumput lt ruko,"['barangkali', 'tinggal', 'daerah', 'pasar', 'rumput', 'manggarai', 'jaksel', 'order', 'ayam', 'bakar', 'mama', 'available', 'grabfood', 'gofood', 'shopeefood', 'keywordnya', 'ayam', 'bakar', 'mak', 'tuo', 'pasar', 'rumput', 'makan', 'tempat', 'lokasi', 'gedung', 'pasar', 'rumput', 'lt', 'ruko']",1,positif
37,Shopeefood adalah penyelamat hidup,shopeefood adalah penyelamat hidup,shopeefood adalah penyelamat hidup,shopeefood adalah penyelamat hidup,shopeefood penyelamat hidup,"['shopeefood', 'selamat', 'hidup']",1,positif
38,Baru kali ini deh beli makanan lewat shopeefood zonk. Pesen apa yg dateng apa 😂,baru kali ini deh beli makanan lewat shopeefood zonk. pesen apa yg dateng apa 😂,baru kali ini deh beli makanan lewat shopeefood zonk pesen apa yg dateng apa,baru kali ini deh beli makanan lewat shopeefood gagal pesan apa yang dateng apa,kali deh beli makanan shopeefood gagal pesan dateng,"['kali', 'deh', 'beli', 'makan', 'shopeefood', 'gagal', 'pesan', 'dateng']",1,positif
39,"Hallo @shopeefood_id bgmn sistemnya nih? Masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya?
Mau saya kasih rating 0 tp gak bisa ...","hallo @shopeefood_id bgmn sistemnya nih? masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya?
mau saya kasih rating 0 tp gak bisa ...",hallo id bgmn sistemnya nih masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya mau saya kasih rating tp gak bisa,halo id bagaimana sistemnya ini masa saya belum terima orderan saya tapi di aplikasi dibilang sudah complete dan diminta ratingnya mau saya kasih rating tapi tidak bisa,halo id sistemnya terima orderan aplikasi dibilang complete ratingnya kasih rating,"['halo', 'id', 'sistem', 'terima', 'order', 'aplikasi', 'bilang', 'complete', 'ratingnya', 'kasih', 'rating']",0,negatif
40,Terbaik gila Shopeefood ni. Murah pun murah. Ngam ngam aku malas masak harini,terbaik gila shopeefood ni. murah pun murah. ngam ngam aku malas masak harini,terbaik gila shopeefood ni murah pun murah ngam ngam aku malas masak harini,terbaik gila shopeefood ini murah pun murah ngam ngam saya malas masa hari ini,terbaik gila shopeefood murah murah ngam ngam malas,"['baik', 'gila', 'shopeefood', 'murah', 'murah', 'ngam', 'ngam', 'malas']",1,positif
41,Boleh order dengan ShopeeFood dan Grabfood. Order skunk!!! https://t.co/7Jrd2QynLt,boleh order dengan shopeefood dan grabfood. order skunk!!! https://t.co/7jrd2qynlt,boleh order dengan shopeefood dan grabfood order skunk,boleh order dengan shopeefood dan grabfood order skunk,order shopeefood grabfood order skunk,"['order', 'shopeefood', 'grabfood', 'order', 'skunk']",2,netral
42,Mari ngecek ada grabfood/shopeefood apa yg enak di cikini~,mari ngecek ada grabfood/shopeefood apa yg enak di cikini~,mari ngecek ada grabfoodshopeefood apa yg enak di cikini,mari ngecek ada grabfoodshopeefood apa yang enak di cikini,mari ngecek grabfoodshopeefood enak cikini,"['mari', 'ngecek', 'grabfoodshopeefood', 'enak', 'cikini']",1,positif
43,"JUST HAD APA YA SEMALEM BUT SOKLATTTTTTTTTT still prefer the hot one kemaren coba icednya agak gimana ya, kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus I found on shopeefood 🧍 https://t.co/DYMjWS5Isd","just had apa ya semalem but soklatttttttttt still prefer the hot one kemaren coba icednya agak gimana ya, kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus i found on shopeefood 🧍 https://t.co/dymjws5isd",just had apa ya semalem but soklatttttttttt still prefer the hot one kemaren coba icednya agak gimana ya kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus i found on shopeefood,just had apa ya semalem but soklatttttttttt still prefer the hot one kemarin coba icednya agak bagaimana ya seperti ada lotus lotusnya begitu apa saya hanya kebayang cheesecake lotus i found on shopeefood,semalem soklatttttttttt still prefer hot one kemarin coba icednya lotus lotusnya kebayang cheesecake lotus found shopeefood,"['semalem', 'soklatttttttttt', 'still', 'prefer', 'hot', 'one', 'kemarin', 'coba', 'icednya', 'lotus', 'lotus', 'bayang', 'cheesecake', 'lotus', 'found', 'shopeefood']",2,netral
44,@ShopeeCare si @gojekindonesia bisa menyelesaikan masalah dalam 2 jam (makanan dikirim lagi dengan extra menu dan refund dari pihak gojek nya juga) knapa shopeefood sampe seminggu ya? Tidak sebaik dan secepat gojek pelayanan nya. Ditambah cs shopee hanya copas copas text saja.,@shopeecare si @gojekindonesia bisa menyelesaikan masalah dalam 2 jam (makanan dikirim lagi dengan extra menu dan refund dari pihak gojek nya juga) knapa shopeefood sampe seminggu ya? tidak sebaik dan secepat gojek pelayanan nya. ditambah cs shopee hanya copas copas text saja.,si bisa menyelesaikan masalah dalam jam makanan dikirim lagi dengan extra menu dan refund dari pihak gojek nya juga knapa shopeefood sampe seminggu ya tidak sebaik dan secepat gojek pelayanan nya ditambah cs shopee hanya copas copas text saja,si bisa menyelesaikan masalah dalam jam makanan dikirim lagi dengan extra menu dan refund dari pihak gojek nya juga kenapa shopeefood sampai seminggu ya tidak sebaik dan secepat gojek pelayanan nya ditambah cs shopee hanya copas copas text saja,menyelesaikan jam makanan dikirim extra menu refund gojek shopeefood seminggu secepat gojek pelayanan ditambah cs shopee copas copas text,"['selesai', 'jam', 'makan', 'kirim', 'extra', 'menu', 'refund', 'gojek', 'shopeefood', 'minggu', 'cepat', 'gojek', 'layan', 'tambah', 'cs', 'shopee', 'copas', 'copas', 'text']",1,positif
45,@Askrlfess Maaf nder tapi itu kayanya km bukan order shopeefood tapi beli voucher cashback doang,@askrlfess maaf nder tapi itu kayanya km bukan order shopeefood tapi beli voucher cashback doang,maaf nder tapi itu kayanya km bukan order shopeefood tapi beli voucher cashback doang,maaf nder tapi itu sepertinya kamu bukan order shopeefood tapi beli voucher cashback saja,maaf nder order shopeefood beli voucher cashback,"['maaf', 'nder', 'order', 'shopeefood', 'beli', 'voucher', 'cashback']",1,positif
46,"@Askrlfess ini bukan shopeefood nder, itu cuman voucher nha aja","@askrlfess ini bukan shopeefood nder, itu cuman voucher nha aja",ini bukan shopeefood nder itu cuman voucher nha aja,ini bukan shopeefood nder itu cuman voucher ini aja,shopeefood nder cuman voucher,"['shopeefood', 'nder', 'cuman', 'voucher']",1,positif
