,Unnamed: 0,Created_At,Tweets,Case_Folding,Clean_Data,sentiment,label
10,1315,2021-10-23 08:35:30+00:00,"@shopeefood_id Seblak 😍😍 tinggal shopeefood deh, ada diskon 25% + gratis ongkir, terbaik 🥳🥳🥳","@shopeefood_id seblak 😍😍 tinggal shopeefood deh, ada diskon 25% + gratis ongkir, terbaik 🥳🥳🥳",id seblak shopeefood deh diskon gratis ongkos kirim terbaik,13,positif
11,1316,2021-10-23 08:32:39+00:00,"@kkrystalized_ shopeefood aja sampe nunggu 2,5 jam saya 😭👌","@kkrystalized_ shopeefood aja sampe nunggu 2,5 jam saya 😭👌",shopeefood nunggu jam,1,positif
12,1317,2021-10-23 08:11:55+00:00,"Yuk supaya momen kamu bareng temen jadi lebih seru, jangan lupa klik https://t.co/HnQLM1HzYw dan  beli makanan favorit kamu di ShopeeFood yaa!&lt;3","yuk supaya momen kamu bareng temen jadi lebih seru, jangan lupa klik https://t.co/hnqlm1hzyw dan  beli makanan favorit kamu di shopeefood yaa!&lt;3",yuk momen bareng teman seru lupa klik beli makanan favorit shopeefood yaalt,18,positif
13,1318,2021-10-23 08:03:43+00:00,"Akhir pekan bersama keluarga makin istimewa dengan Paket Family Weekend McD

Mulai 90 ribuan, bisa dapat menu buat bertiga &amp; GRATIS permainan seru yang bisa kamu mainkan bersama keluarga, hemat hingga 40%!😍

Yuk pesan di McDonald's atau McDelivery, GoFood, GrabFood &amp; ShopeeFood! https://t.co/sV6lt9h8Ev","akhir pekan bersama keluarga makin istimewa dengan paket family weekend mcd

mulai 90 ribuan, bisa dapat menu buat bertiga &amp; gratis permainan seru yang bisa kamu mainkan bersama keluarga, hemat hingga 40%!😍

yuk pesan di mcdonald's atau mcdelivery, gofood, grabfood &amp; shopeefood! https://t.co/sv6lt9h8ev",keluarga istimewa paket family weekend mcd ribuan menu bertiga amp gratis permainan seru mainkan keluarga hemat hingga yuk pesan mcdonalds mcdelivery gofood grabfood amp shopeefood,35,positif
14,1319,2021-10-23 08:03:17+00:00,YUHUUUU SLOT SORE SUDAH READY GENGGGGSSS! Yukkk langsung ke gofood grabfood shopeefood 😋😋😋,yuhuuuu slot sore sudah ready genggggsss! yukkk langsung ke gofood grabfood shopeefood 😋😋😋,yuhuuuu slot sore ready genggggsss yukkk gofood grabfood shopeefood,1,positif
15,1320,2021-10-23 08:02:07+00:00,"ketika bingung mau split bill orderan gojek/grab/shopeefood 
solusi : https://t.co/Yz2duVvQmI","ketika bingung mau split bill orderan gojek/grab/shopeefood 
solusi : https://t.co/yz2duvvqmi",bingung split bill orderan gojekgrabshopeefood solusi,3,positif
16,1321,2021-10-23 07:55:33+00:00,"Ada yang pernah akun shopeenya tbtb dihapus, tulisannya ditinjau ga? Katanya gara gara ngelanggar shopeefood. Bingung bgt dah padahal kan kita cuman pesen shopeefood knp jadi bgini dah","ada yang pernah akun shopeenya tbtb dihapus, tulisannya ditinjau ga? katanya gara gara ngelanggar shopeefood. bingung bgt dah padahal kan kita cuman pesen shopeefood knp jadi bgini dah",akun shopeenya tbtb dihapus tulisannya ditinjau ga katanya gara gara ngelanggar shopeefood bingung banget deh kan cuman pesen shopeefood bgini deh,-9,negatif
17,1322,2021-10-23 07:54:41+00:00,"@oohssehnn hi cwk, kirimin shopeefood donk😉","@oohssehnn hi cwk, kirimin shopeefood donk😉",hai cwk kirimin shopeefood donk,3,positif
18,1323,2021-10-23 07:49:01+00:00,"cu bgt liat mas"" shopeefood pake jaket oren, helm oren, vespa oren. sangat eye catching","cu bgt liat mas"" shopeefood pake jaket oren, helm oren, vespa oren. sangat eye catching",cu banget lihat mas shopeefood pakai jaket oren helm oren vespa oren eye catching,4,positif
19,1324,2021-10-23 07:33:19+00:00,kapan di daerah gue ada shopeefood??,kapan di daerah gue ada shopeefood??,daerah shopeefood,0,netral
20,1325,2021-10-23 07:27:47+00:00,GUA MESEN SHOPEEFOOD 15 MENIT LALU UDAH NELFON ABIS NELFON DIA NGILANG GITU AJA????,gua mesen shopeefood 15 menit lalu udah nelfon abis nelfon dia ngilang gitu aja????,mesen shopeefood menit menelepon habis menelepon ngilang,0,netral
21,1326,2021-10-23 07:27:34+00:00,@shopeefood_id gorengan bakri 😊,@shopeefood_id gorengan bakri 😊,id gorengan bakri,1,positif
22,1327,2021-10-23 07:26:16+00:00,@shopeefood_id Seblak,@shopeefood_id seblak,id seblak,0,netral
23,1328,2021-10-23 07:26:05+00:00,@shopeefood_id Ikan bakar,@shopeefood_id ikan bakar,id ikan bakar,1,positif
24,1329,2021-10-23 07:24:27+00:00,Pergi kl semata mata nk guna shopeefood 😔👍🏻,pergi kl semata mata nk guna shopeefood 😔👍🏻,pergi mata nk shopeefood,-1,negatif
25,1330,2021-10-23 07:18:25+00:00,"shopeefood ini bisa difilter ga sih, jadi paling deket ini nyari yg keluar 5km lebih semua yg dibawah 2km harus scroll ke bawah dulu","shopeefood ini bisa difilter ga sih, jadi paling deket ini nyari yg keluar 5km lebih semua yg dibawah 2km harus scroll ke bawah dulu",shopeefood difilter ga sih paling deket keluar dibawah scroll,-2,negatif
26,1331,2021-10-23 07:17:15+00:00,@injooniees pake shopeefood coba kan ada gratis ongkirr,@injooniees pake shopeefood coba kan ada gratis ongkirr,pakai shopeefood coba kan gratis ongkirr,6,positif
27,1332,2021-10-23 07:12:27+00:00,"Beli shopeefood pas dateng kenapa aing nanya ""gofood ya?"" Malu dong ga fokus kebiasaan gofood atuda🤣🤣","beli shopeefood pas dateng kenapa aing nanya ""gofood ya?"" malu dong ga fokus kebiasaan gofood atuda🤣🤣",beli shopeefood pas dateng gofood malu ga fokus kebiasaan gofood atuda,8,positif
28,1333,2021-10-23 07:12:00+00:00,Apa makanan wajib kamu kalo bareng temen?,apa makanan wajib kamu kalo bareng temen?,makanan wajib bareng teman,4,positif
29,1334,2021-10-23 07:04:24+00:00,"Pacarku cerita nganterin orderan shopeefood ke kosan (maaf) bencong, sampe sana niatnya ramah bilangin namanya cantik kayak orangnya, trus si yang order ini langsung to the point. “Mas aku isepin ya k*ntl nya?” WKOWKWOWKWOWKWOWKWOWKWOWKWOWKKWOWKWOWKOWWKOW","pacarku cerita nganterin orderan shopeefood ke kosan (maaf) bencong, sampe sana niatnya ramah bilangin namanya cantik kayak orangnya, trus si yang order ini langsung to the point. “mas aku isepin ya k*ntl nya?” wkowkwowkwowkwowkwowkwowkwowkkwowkwowkowwkow",pacarku cerita nganterin orderan shopeefood kosan maaf banci niatnya ramah bilangin namanya cantik kayak orangnya si order to point mas isepin kntl nya wkowkwowkwowkwowkwowkwowkwowkkwowkwowkowwkow,5,positif
30,1335,2021-10-23 06:55:05+00:00,@jibrilss15 @jibrilbangi Syukur... done beli via ShopeeFood https://t.co/w5f34kaKf3,@jibrilss15 @jibrilbangi syukur... done beli via shopeefood https://t.co/w5f34kakf3,syukur done beli via shopeefood,7,positif
31,1336,2021-10-23 06:52:15+00:00,"KESEL BGT BELI SHOPEEFOOD LUPA NYALAIN DISKON VOC SAMA FREE ONGKIR. 

MANA JAUH SAMA MAHAL 😭😭😭😭😭😭😭","kesel bgt beli shopeefood lupa nyalain diskon voc sama free ongkir. 

mana jauh sama mahal 😭😭😭😭😭😭😭",kesel banget beli shopeefood lupa nyalain diskon voc free ongkos kirim mahal,7,positif
32,1337,2021-10-23 06:32:42+00:00,2 nasi padang lauk ayam sama sayur + es teh cuman 15k 😭 shopeefood aku padamuuu huhuhuu,2 nasi padang lauk ayam sama sayur + es teh cuman 15k 😭 shopeefood aku padamuuu huhuhuu,nasi padang lauk ayam sayur es kakak perempuan cuman shopeefood padamuuu huhuhuu,2,positif
33,1338,2021-10-23 06:17:33+00:00,@Mundur41149832 shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan?,@mundur41149832 shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan?,shopeefood klau ngakpunya shopepay gabisa voucernya kan,0,netral
34,1339,2021-10-23 06:10:57+00:00,"Spaghetti Aglio E Olio biasa? bukan! spaghetti masakane simbah sing iki dimasak pake bumbu Roa, cocok nggo ilat indonesia,  dijamin nampolll

Ada di warung mbah sambat. Bisa dine in/take away. Bisa juga pesen lewat GoFood/ShopeeFood. https://t.co/z4FOgTK66V","spaghetti aglio e olio biasa? bukan! spaghetti masakane simbah sing iki dimasak pake bumbu roa, cocok nggo ilat indonesia,  dijamin nampolll

ada di warung mbah sambat. bisa dine in/take away. bisa juga pesen lewat gofood/shopeefood. https://t.co/z4fogtk66v",spaghetti aglio e olio bukan spaghetti masakane simbah sing iki dimasak pakai bumbu roa cocok nggo ilat indonesia dijamin nampolll warung mbah sambat dine intake away pesen gofoodshopeefood,0,netral
35,1340,2021-10-23 06:07:49+00:00,"Ngakak + malu banget, masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk","ngakak + malu banget, masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk",tertawa malu banget pesen shopeefood kirimnya titik tutup cabang nya wkwk,5,positif
36,1341,2021-10-23 05:59:55+00:00,"barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel, boleh diorder ayam bakar mamaku, available on grabfood, gofood, dan shopeefood :D keywordnya Ayam Bakar Mak Tuo Pasar rumput, makan ditempat pun bisa, lokasinya di gedung pasar rumput lt. 3 ruko 20","barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel, boleh diorder ayam bakar mamaku, available on grabfood, gofood, dan shopeefood :d keywordnya ayam bakar mak tuo pasar rumput, makan ditempat pun bisa, lokasinya di gedung pasar rumput lt. 3 ruko 20",barangkali daerah pasar rumput manggarai jaksel diorder ayam bakar mamaku available on grabfood gofood shopeefood keywordnya ayam bakar ibu tuo pasar rumput makan ditempat lokasinya gedung pasar rumput lt rumah toko,16,positif
37,1342,2021-10-23 05:59:35+00:00,Shopeefood adalah penyelamat hidup,shopeefood adalah penyelamat hidup,shopeefood penyelamat,5,positif
38,1343,2021-10-23 05:54:09+00:00,Baru kali ini deh beli makanan lewat shopeefood zonk. Pesen apa yg dateng apa 😂,baru kali ini deh beli makanan lewat shopeefood zonk. pesen apa yg dateng apa 😂,deh beli makanan shopeefood bodoh pesen dateng,2,positif
39,1344,2021-10-23 05:50:46+00:00,"Hallo @shopeefood_id bgmn sistemnya nih? Masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya?
Mau saya kasih rating 0 tp gak bisa ...","hallo @shopeefood_id bgmn sistemnya nih? masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya?
mau saya kasih rating 0 tp gak bisa ...",hallo id sistemnya masak terima orderan aplikasi dibilang sdh complete ratingnya kasih rating tidak,-6,negatif
40,1345,2021-10-23 05:47:26+00:00,Terbaik gila Shopeefood ni. Murah pun murah. Ngam ngam aku malas masak harini,terbaik gila shopeefood ni. murah pun murah. ngam ngam aku malas masak harini,terbaik gila shopeefood murah murah ngam ngam malas masak harini,12,positif
41,1346,2021-10-23 05:43:19+00:00,Boleh order dengan ShopeeFood dan Grabfood. Order skunk!!! https://t.co/7Jrd2QynLt,boleh order dengan shopeefood dan grabfood. order skunk!!! https://t.co/7jrd2qynlt,order shopeefood grabfood order skunk,0,netral
42,1347,2021-10-23 05:20:11+00:00,Mari ngecek ada grabfood/shopeefood apa yg enak di cikini~,mari ngecek ada grabfood/shopeefood apa yg enak di cikini~,mari ngecek grabfoodshopeefood enak cikini,9,positif
43,1348,2021-10-23 05:17:59+00:00,"JUST HAD APA YA SEMALEM BUT SOKLATTTTTTTTTT still prefer the hot one kemaren coba icednya agak gimana ya, kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus I found on shopeefood 🧍 https://t.co/DYMjWS5Isd","just had apa ya semalem but soklatttttttttt still prefer the hot one kemaren coba icednya agak gimana ya, kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus i found on shopeefood 🧍 https://t.co/dymjws5isd",just had semalem but soklatttttttttt prefer hot one coba icednya agak kaya lotus lotusnya kebayang cheesecake lotus i found on shopeefood,2,positif
44,1349,2021-10-23 05:07:55+00:00,@ShopeeCare si @gojekindonesia bisa menyelesaikan masalah dalam 2 jam (makanan dikirim lagi dengan extra menu dan refund dari pihak gojek nya juga) knapa shopeefood sampe seminggu ya? Tidak sebaik dan secepat gojek pelayanan nya. Ditambah cs shopee hanya copas copas text saja.,@shopeecare si @gojekindonesia bisa menyelesaikan masalah dalam 2 jam (makanan dikirim lagi dengan extra menu dan refund dari pihak gojek nya juga) knapa shopeefood sampe seminggu ya? tidak sebaik dan secepat gojek pelayanan nya. ditambah cs shopee hanya copas copas text saja.,si menyelesaikan dalam jam makanan dikirim extra menu refund gojek nya knapa shopeefood seminggu tidak secepat gojek pelayanan nya ditambah cs shopee copas copas text,13,positif
45,1350,2021-10-23 05:04:05+00:00,@Askrlfess Maaf nder tapi itu kayanya km bukan order shopeefood tapi beli voucher cashback doang,@askrlfess maaf nder tapi itu kayanya km bukan order shopeefood tapi beli voucher cashback doang,maaf nder kayaknya bukan order shopeefood beli voucher cashback doang,5,positif
46,1351,2021-10-23 05:03:41+00:00,"@Askrlfess ini bukan shopeefood nder, itu cuman voucher nha aja","@askrlfess ini bukan shopeefood nder, itu cuman voucher nha aja",bukan shopeefood nder cuman voucher nha,3,positif
47,1352,2021-10-23 05:02:05+00:00,"@ShopeeCare tgl 18 pesen shopeefood tapi aneh ya padahal 12.10 titik driver nya belum di lokasi penjual tapi di 12.12 di driver klik ambil dan di menit yg sama di selesaikan? Dan pesanan tidak saya terima, fitur hubungi driver tidak ada jadi tidak bisa konfirmasi ke driver. https://t.co/L4s5AQmAfS","@shopeecare tgl 18 pesen shopeefood tapi aneh ya padahal 12.10 titik driver nya belum di lokasi penjual tapi di 12.12 di driver klik ambil dan di menit yg sama di selesaikan? dan pesanan tidak saya terima, fitur hubungi driver tidak ada jadi tidak bisa konfirmasi ke driver. https://t.co/l4s5aqmafs",tanggal pesen shopeefood aneh titik driver nya lokasi penjual driver klik ambil menit selesaikan pesanan tidak terima fitur hubungi driver tidak tidak konfirmasi driver,-7,negatif
48,1353,2021-10-23 04:55:38+00:00,@fimegasari Apalagi gaada shopeefood:(,@fimegasari apalagi gaada shopeefood:(,tidak ada uang shopeefood,-4,negatif
49,1354,2021-10-23 04:54:35+00:00,@shopeefood_id kapan buka pendaftaran merchant lagi minnnnnn,@shopeefood_id kapan buka pendaftaran merchant lagi minnnnnn,id buka pendaftaran merchant minnnnnn,6,positif
50,1355,2021-10-23 04:50:11+00:00,top up uangku ordernya di shopeefood,top up uangku ordernya di shopeefood,top up uangku ordernya shopeefood,5,positif
51,1356,2021-10-23 04:28:22+00:00,"@in_rd_sa @ezash Astaga Dog :’))

Senja nitip lapak jualan Senja : Ricebox Wagyu, available di Jakarta dsk, bisa dipesan via GoFood/GrabFood/ShopeeFood (search : senjayummy). https://t.co/RgyLXHQgtM","@in_rd_sa @ezash astaga dog :’))

senja nitip lapak jualan senja : ricebox wagyu, available di jakarta dsk, bisa dipesan via gofood/grabfood/shopeefood (search : senjayummy). https://t.co/rgylxhqgtm",rdsa astaga dog senja nitip lapak jualan senja ricebox wagyu available jakarta dsk dipesan via gofoodgrabfoodshopeefood search senjayummy,4,positif
52,1357,2021-10-23 04:14:34+00:00,yg pake alamat gue sp si anjr tiap hari shopeefood sm gojek dateng mulu risihh,yg pake alamat gue sp si anjr tiap hari shopeefood sm gojek dateng mulu risihh,pakai alamat sp si anjr shopeefood gojek dateng melulu risihh,-1,negatif
53,1358,2021-10-23 04:07:55+00:00,"BEAR BOBBA LOWOKWARU

Cinnamon Roll Macchiato 18K #BigCup22oz
50% Disc #ShopeeFood #GrabFood #GoFood

🌐 https://t.co/6fplAdGVlD

#InfoKulinerMalang
#LaporLaper
#KulinerHitsMalang
#MalangCulinary
#MalangKuliner
#BobaMalang
#KopiMalang 
#EsTehMalang
#MojitoMalang
#Grab
#GoJek
#BTS https://t.co/kvnyQpieh8","bear bobba lowokwaru

cinnamon roll macchiato 18k #bigcup22oz
50% disc #shopeefood #grabfood #gofood

🌐 https://t.co/6fpladgvld

#infokulinermalang
#laporlaper
#kulinerhitsmalang
#malangculinary
#malangkuliner
#bobamalang
#kopimalang 
#estehmalang
#mojitomalang
#grab
#gojek
#bts https://t.co/kvnyqpieh8",bear bobba lowokwaru cinnamon roll macchiato disc,0,netral
54,1359,2021-10-23 04:02:26+00:00,kok mcd di shopeefood ga ada menu butter caramel,kok mcd di shopeefood ga ada menu butter caramel,mcd shopeefood ga menu butter caramel,0,netral
55,1360,2021-10-23 03:55:16+00:00,"di ShopeeFood aja
*Ayam Gacor - Menteng Atas* https://t.co/cuPipXNGbG","di shopeefood aja
*ayam gacor - menteng atas* https://t.co/cupipxngbg",shopeefood ayam gacor menteng,0,netral
56,1361,2021-10-23 03:54:34+00:00,"di ShopeeFood aja
*Ayam Gacor - Menteng Atas* @ Ayam Gacor Menteng Atas https://t.co/3hpmFsEVcY","di shopeefood aja
*ayam gacor - menteng atas* @ ayam gacor menteng atas https://t.co/3hpmfsevcy",shopeefood ayam gacor menteng ayam gacor menteng,0,netral
57,1362,2021-10-23 03:52:34+00:00,"Setelah 40 menit bolak-balik shopee, grab, gofood buat nyari diskonan ya akhirnya ke ShopeeFood aja pesen nasi paddington","setelah 40 menit bolak-balik shopee, grab, gofood buat nyari diskonan ya akhirnya ke shopeefood aja pesen nasi paddington",menit bolakbalik shopee grab gofood diskonan shopeefood pesen nasi paddington,4,positif
58,1363,2021-10-23 03:50:05+00:00,Siapa yg cita citanya namatin game shopeefood,siapa yg cita citanya namatin game shopeefood,cita citanya namatin game shopeefood,2,positif
59,1364,2021-10-23 03:46:17+00:00,"@merapi_uncover kayane wes klarifikasi kuwi mas2 e cen kurir shopeefood sing hobby ne mendaki, mung cari sensasi","@merapi_uncover kayane wes klarifikasi kuwi mas2 e cen kurir shopeefood sing hobby ne mendaki, mung cari sensasi",uncover kayane wes klarifikasi kuwi mas e cen kurir shopeefood sing hobby mendaki mung cari sensasi,-7,negatif
60,1365,2021-10-23 03:42:24+00:00,"haii! aku jg ada voucher shopeefood nihh~
fee 2k-5k (tergantung voucher yg dipakai yaaa)

yg minat bisa langsung dm yaa^^
jangan lupa mention setelah dm yap #zonauang #zonaba #zonaBU #Zonajajan https://t.co/OyRJ8Iyxmq","haii! aku jg ada voucher shopeefood nihh~
fee 2k-5k (tergantung voucher yg dipakai yaaa)

yg minat bisa langsung dm yaa^^
jangan lupa mention setelah dm yap #zonauang #zonaba #zonabu #zonajajan https://t.co/oyrj8iyxmq",haii voucher shopeefood nihh fee kakak tergantung voucher dipakai yaaa minat dm yaa lupa mention dm,14,positif
61,1366,2021-10-23 03:41:23+00:00,"HAPPY WEEKEND NASABAH LEMAK TERSAYANG ❤️❤️❤️

Biar weekend nya makin enak, mending rebahan di rumah sambil pesen @nasgortiarbah kemayoran 😋😋😋

Gofood ✅
Grabfood ✅
Shopeefood ✅","happy weekend nasabah lemak tersayang ❤️❤️❤️

biar weekend nya makin enak, mending rebahan di rumah sambil pesen @nasgortiarbah kemayoran 😋😋😋

gofood ✅
grabfood ✅
shopeefood ✅",bahagia weekend nasabah lemak tersayang biar weekend nya enak lebih baik rebahan rumah pesen kemayoran gofood grabfood shopeefood,26,positif
62,1367,2021-10-23 03:40:55+00:00,"@kalonginsomnia shopeefood aja lebih asik, cman martabak ga jual jam segini disini huhu adanya malem","@kalonginsomnia shopeefood aja lebih asik, cman martabak ga jual jam segini disini huhu adanya malem",shopeefood asik cman martabak ga jual jam segini disini huhu malam,2,positif
63,1368,2021-10-23 03:33:58+00:00,"hampura neng ieu mah akang can bisa ngalongok bari mawa bengbeng sa dus
top sakintal, komo martabak spesial mah

#ngebid #shopeefood https://t.co/tpkduDeOiv","hampura neng ieu mah akang can bisa ngalongok bari mawa bengbeng sa dus
top sakintal, komo martabak spesial mah

#ngebid #shopeefood https://t.co/tpkdudeoiv",hampura neng ieu mah akang ngalongok bari mawa bengbeng sa dus top sakintal komo martabak spesial mah,14,positif
64,1369,2021-10-23 03:27:21+00:00,@RacunBelanja semenjak ada shopeefood gojek grab gw unins ckck pengen beli ini mager banget install gojek lagi ckck,@racunbelanja semenjak ada shopeefood gojek grab gw unins ckck pengen beli ini mager banget install gojek lagi ckck,semenjak shopeefood gojek grab unins ck pengen beli mager banget install gojek ck,2,positif
65,1370,2021-10-23 03:20:05+00:00,"Kembali ke scroll scroll gofood grabfood shopeefood aja terus tapi ndak mood makan. 

Gitu terus sampe nanti sore.","kembali ke scroll scroll gofood grabfood shopeefood aja terus tapi ndak mood makan. 

gitu terus sampe nanti sore.",scroll scroll gofood grabfood shopeefood tidak mood makan sore,-1,negatif
66,1371,2021-10-23 02:52:13+00:00,"Seberapa gak gunanya kegiatan lo dihari weekend?
Gue scroll shopeefood berjam-jam tp gak ada yg di checkout","seberapa gak gunanya kegiatan lo dihari weekend?
gue scroll shopeefood berjam-jam tp gak ada yg di checkout",tidak gunanya dihari weekend scroll shopeefood berjamjam tidak checkout,-1,negatif
67,1372,2021-10-23 02:34:42+00:00,"andai aku nagita slavina, mo pesen shopeefood pasti ga nunggu voucher promo dulu🤣","andai aku nagita slavina, mo pesen shopeefood pasti ga nunggu voucher promo dulu🤣",andai nagita slavina pesen shopeefood ga nunggu voucher promo,7,positif
68,1373,2021-10-23 02:30:19+00:00,Bj takde coffee ke aduh kena game dgn ShopeeFood,bj takde coffee ke aduh kena game dgn shopeefood,bj takde coffee aduh kena game shopeefood,2,positif
69,1374,2021-10-23 02:25:45+00:00,"pesanan @shopeefood_id  gak datang uang hilang lah dan pesanan gak datang. 

lalu cs @ShopeeID menyerah dan minta email sebagai prosedur yang saya sudah hapal banget. 

Drivernya? 
keberatan... duitnya gak mau dibalikin. 
yang penting dia dapat feenya.","pesanan @shopeefood_id  gak datang uang hilang lah dan pesanan gak datang. 

lalu cs @shopeeid menyerah dan minta email sebagai prosedur yang saya sudah hapal banget. 

drivernya? 
keberatan... duitnya gak mau dibalikin. 
yang penting dia dapat feenya.",pesanan id tidak uang hilang pesanan tidak cs menyerah email prosedur hapal banget drivernya keberatan duitnya tidak dibalikin feenya,0,netral
70,1375,2021-10-23 02:23:15+00:00,"pesanan yang kedua @shopeefood_id  pagi-pagi ini driver klik sudah di resto. apa yang terjadi setelah stgh jam nunggu? driver chat baru nemu toko, tokonya tutup...

WHAT T---

Minta saya batalin? ya gak bisa. saya chat cs @ShopeeID  LAMA BANGET PROSEDURNYA....
AKHIRNYA APA?","pesanan yang kedua @shopeefood_id  pagi-pagi ini driver klik sudah di resto. apa yang terjadi setelah stgh jam nunggu? driver chat baru nemu toko, tokonya tutup...

what t---

minta saya batalin? ya gak bisa. saya chat cs @shopeeid  lama banget prosedurnya....
akhirnya apa?",pesanan id pagipagi driver klik resto stgh jam nunggu driver chat nemu toko tokonya tutup what t batalin tidak chat cs banget prosedurnya,2,positif
71,1376,2021-10-23 01:59:37+00:00,Baru kenal aja udah minta dikirimin ShopeeFood. Dasar mental pengemis! 😒🙃,baru kenal aja udah minta dikirimin shopeefood. dasar mental pengemis! 😒🙃,kenal dikirimin shopeefood dasar mental pengemis,3,positif
72,1377,2021-10-23 01:45:48+00:00,"BEAR BOBBA LOWOKWARU

Boba Brown Sugar 13K #BigCup22oz
50% Disc #ShopeeFood #GrabFood #GoFood

🌐https://t.co/6fplAdGVlD

#InfoKulinerMalang
#LaporLaper
#KulinerHitsMalang
#MalangCulinary
#MalangKuliner
#BobaMalang
#KopiMalang 
#EsTehMalang
#MojitoMalang
#Grab
#GoJek
#Shopee
#BTS https://t.co/AHDAMR3pFL","bear bobba lowokwaru

boba brown sugar 13k #bigcup22oz
50% disc #shopeefood #grabfood #gofood

🌐https://t.co/6fpladgvld

#infokulinermalang
#laporlaper
#kulinerhitsmalang
#malangculinary
#malangkuliner
#bobamalang
#kopimalang 
#estehmalang
#mojitomalang
#grab
#gojek
#shopee
#bts https://t.co/ahdamr3pfl",bear bobba lowokwaru boba brown sugar disc,0,netral
73,1378,2021-10-23 01:29:29+00:00,"@uchiha201 Buka di google, ""cara daftar jadi shopeefood driver""","@uchiha201 buka di google, ""cara daftar jadi shopeefood driver""",buka google daftar shopeefood driver,4,positif
74,1379,2021-10-23 01:28:34+00:00,"@nnirwansyah Buka aja google, ""cara daftar shopeefood driver""","@nnirwansyah buka aja google, ""cara daftar shopeefood driver""",buka google daftar shopeefood driver,4,positif
75,1380,2021-10-23 01:24:16+00:00,[Askrl] rata2 penghasilan driver shopeefood berapa ya sehari,[askrl] rata2 penghasilan driver shopeefood berapa ya sehari,askrl penghasilan driver shopeefood sehari,3,positif
