,Created_At,Tweets,Clean_Data,Tweet_Normal,Tanpa_StopWords,Stemming,Bobot,Label,Sentimen
10,2021-12-22 05:18:23+00:00,@eunjipacarbrian Syopifud lagi promo 60% 😂,syopifud lagi promo,syopifud lagi promo,syopifud promo,"['syopifud', 'promo']",3,positive,1.0
11,2021-12-22 05:17:24+00:00,makasih syopifud atas diskon 60%nya love u,makasih syopifud atas diskon nya love,makasih syopifud atas potongan harga nya cinta,makasih syopifud potongan harga cinta,"['makasih', 'syopifud', 'potong', 'harga', 'cinta']",8,positive,1.0
12,2021-12-22 05:01:58+00:00,Terpantau Tiwi lebih sering CO makanan lewat syopifud sekarang,terpantau tiwi lebih sering co makanan lewat syopifud sekarang,terpantau tiwi lebih sering co makanan lewat syopifud sekarang,terpantau tiwi co makanan syopifud,"['pantau', 'tiwi', 'co', 'makan', 'syopifud']",5,positive,1.0
13,2021-12-22 04:49:52+00:00,@sparklerish lgsg aja order di syopifud tut,lgsg aja order di syopifud tut,langsung aja order di syopifud tut,langsung order syopifud tut,"['langsung', 'order', 'syopifud', 'tut']",3,positive,1.0
14,2021-12-22 04:14:41+00:00,"warga jog saranin makan siang enak di syopifud dong, mau pesen ayam geprek sambal matah malah abis, trs skrg bingung mau makan apaa😭",warga jog saranin makan siang enak di syopifud dong mau pesen ayam geprek sambal matah malah abis trs skrg bingung mau makan apaa,warga jog saranin makan siang enak di syopifud dong mau pesan ayam geprek sambal matah malah habis terus sekarang bingung mau makan apaa,warga jog saranin makan siang enak syopifud pesan ayam geprek sambal matah habis bingung makan apaa,"['warga', 'jog', 'saranin', 'makan', 'siang', 'enak', 'syopifud', 'pesan', 'ayam', 'geprek', 'sambal', 'matah', 'habis', 'bingung', 'makan', 'apaa']",12,positive,1.0
15,2021-12-22 03:44:56+00:00,Pesen makanan apa ya geh! yg enak yg ada di syopifud,pesen makanan apa ya geh yg enak yg ada di syopifud,pesan makanan apa ya geh yang enak yang ada di syopifud,pesan makanan geh enak syopifud,"['pesan', 'makan', 'geh', 'enak', 'syopifud']",10,positive,1.0
16,2021-12-22 02:10:17+00:00,syopifud ada di cilegon kek,syopifud ada di cilegon kek,syopifud ada di cilegon seperti,syopifud cilegon,"['syopifud', 'cilegon']",0,neutral,2.0
17,2021-12-21 16:34:13+00:00,"@KaiSuperbia Beli la pack, buat apa ada gofud/grabfud/syopifud~",beli la pack buat apa ada gofudgrabfudsyopifud,beli la pack buat apa ada gofudgrabfudsyopifud,beli la pack gofudgrabfudsyopifud,"['beli', 'la', 'pack', 'gofudgrabfudsyopifud']",2,positive,1.0
18,2021-12-21 15:39:42+00:00,kpn yh di pesenin gofud syopifud kaya orang orang. aku mandiri banget sumpah,kpn yh di pesenin gofud syopifud kaya orang orang aku mandiri banget sumpah,kapan yh di pesenin gofud syopifud seperti orang orang saya mandiri banget sumpah,yh pesenin gofud syopifud orang orang mandiri banget sumpah,"['yh', 'senin', 'gofud', 'syopifud', 'orang', 'orang', 'mandiri', 'banget', 'sumpah']",1,positive,1.0
19,2021-12-21 15:37:37+00:00,"voucher syopifud ga ada akhlak emg, ini jempol lagi, pake co mulu😭",voucher syopifud ga ada akhlak emg ini jempol lagi pake co mulu,voucher syopifud tidak ada akhlak emang ini jempol lagi pakai co terus,voucher syopifud akhlak emang jempol pakai co,"['voucher', 'syopifud', 'akhlak', 'emang', 'jempol', 'pakai', 'co']",11,positive,1.0
20,2021-12-21 14:41:01+00:00,@buburburjo Dah syopifud aja 🤣,dah syopifud aja,sudah syopifud aja,syopifud,['syopifud'],0,neutral,2.0
21,2021-12-21 14:02:34+00:00,"@nonikdona tergantung promo, tapi terakhir² ini lebih sering ke syopifud",tergantung promo tapi terakhir ini lebih sering ke syopifud,tergantung promo tapi terakhir ini lebih sering ke syopifud,tergantung promo syopifud,"['gantung', 'promo', 'syopifud']",6,positive,1.0
22,2021-12-21 13:55:33+00:00,@hforlyfe_ Syopifud nih ga isa pake paylater yak?,syopifud nih ga isa pake paylater yak,syopifud ini tidak isa pakai paylater yak,syopifud isa pakai paylater yak,"['syopifud', 'isa', 'pakai', 'paylater', 'yak']",0,neutral,2.0
23,2021-12-21 13:49:38+00:00,Driver syopifud adaada ae dah wkwkw,driver syopifud adaada ae dah wkwkw,driver syopifud adaada ae sudah wkwkw,driver syopifud adaada ae wkwkw,"['driver', 'syopifud', 'adaada', 'ae', 'wkwkw']",0,neutral,2.0
24,2021-12-21 13:06:53+00:00,Pesen via syopifud,pesen via syopifud,pesan via syopifud,pesan via syopifud,"['pesan', 'via', 'syopifud']",2,positive,1.0
25,2021-12-21 11:17:49+00:00,"mo diajak makan bareng sama mba kost, tapi baru aja nerima syopifud😭🙏🏻",mo diajak makan bareng sama mba kost tapi baru aja nerima syopifud,mau diajak makan bersama sama mba kost tapi baru aja nerima syopifud,diajak makan mba kost nerima syopifud,"['ajak', 'makan', 'mba', 'kost', 'nerima', 'syopifud']",2,positive,1.0
26,2021-12-21 10:49:17+00:00,@ponyoontway @UNSfess_ ANJIR LUPA NAMA TEMPATNYA DI SYOPIFUD POKOKNYA DAERAH JEBRES,anjir lupa nama tempatnya di syopifud pokoknya daerah jebres,astaga lupa nama tempatnya di syopifud pokoknya daerah jebres,astaga lupa nama tempatnya syopifud pokoknya daerah jebres,"['astaga', 'lupa', 'nama', 'tempat', 'syopifud', 'pokok', 'daerah', 'jebres']",-2,negative,0.0
27,2021-12-21 09:47:01+00:00,ni anak syopifud mulu dah anjing,ni anak syopifud mulu dah anjing,ini anak syopifud terus sudah anjing,anak syopifud anjing,"['anak', 'syopifud', 'anjing']",-7,negative,0.0
28,2021-12-21 08:40:57+00:00,2hari ini cek chatime bt21 di syopifud tulisannya persediaan habis.. apa emang stock udah abis atau emang ngelayani… https://t.co/4ldqndWI8R,hari ini cek chatime bt di syopifud tulisannya persediaan habis apa emang stock udah abis atau emang ngelayani,hari ini cek chatime bt di syopifud tulisannya persediaan habis apa memang stock sudah habis atau memang melayani,cek chatime bt syopifud tulisannya persediaan habis stock habis melayani,"['cek', 'chatime', 'bt', 'syopifud', 'tulis', 'sedia', 'habis', 'stock', 'habis', 'layan']",8,positive,1.0
29,2021-12-21 07:01:11+00:00,@luvme_likeudu keprabon bisa dapetin diskon dadi syopifud 😂,likeudu keprabon bisa dapetin diskon dadi syopifud,likeudu keprabon bisa dapetin potongan harga dadi syopifud,likeudu keprabon dapetin potongan harga dadi syopifud,"['likeudu', 'keprabon', 'dapetin', 'potong', 'harga', 'dadi', 'syopifud']",1,positive,1.0
30,2021-12-21 06:59:14+00:00,"mau pesen syopifud tapi lagi hujan begini jadi ga tega sama abang yg nganterin makanannya ;(

tapi laper wkwkwk",mau pesen syopifud tapi lagi hujan begini jadi ga tega sama abang yg nganterin makanannya tapi laper wkwkwk,mau pesan syopifud tapi lagi hujan begini jadi tidak tega sama abang yang nganterin makanannya tapi laper wkwkwk,pesan syopifud hujan tega abang nganterin makanannya laper wkwkwk,"['pesan', 'syopifud', 'hujan', 'tega', 'abang', 'nganterin', 'makan', 'laper', 'wkwkwk']",-1,negative,0.0
31,2021-12-21 04:50:23+00:00,"yakali diet, sayang voucher syopifud y kan https://t.co/wKyjFgNIJn",yakali diet sayang voucher syopifud kan,yakali diet sayang voucher syopifud kan,yakali diet sayang voucher syopifud,"['yakali', 'diet', 'sayang', 'voucher', 'syopifud']",0,neutral,2.0
32,2021-12-21 01:50:00+00:00,@aliffahzhrviani @tanyakanrl dia tipe org yg suka diskonan &amp; selalu order makan di syopifud krn voucher potongan yg… https://t.co/T8XJ0xC4cr,dia tipe org yg suka diskonan amp selalu order makan di syopifud krn voucher potongan yg,dia tipe orang yang suka diskonan amp selalu order makan di syopifud karena  voucher potongan yang,tipe orang suka diskonan order makan syopifud voucher potongan,"['tipe', 'orang', 'suka', 'diskon', 'order', 'makan', 'syopifud', 'voucher', 'potong']",7,positive,1.0
33,2021-12-21 01:03:43+00:00,@loffryu ini sm nasi uduk 25k di syopifud,ini sm nasi uduk k di syopifud,ini sama nasi uduk ke di syopifud,nasi uduk syopifud,"['nasi', 'uduk', 'syopifud']",2,positive,1.0
34,2021-12-20 16:15:20+00:00,jam segini blm tidur grgr jam 12 biar bisa klaim vocer kesbek syopifud :(,jam segini blm tidur grgr jam biar bisa klaim vocer kesbek syopifud,jam segini belum tidur grgr jam biar bisa klaim vocer kesbek syopifud,jam segini tidur grgr jam klaim vocer kesbek syopifud,"['jam', 'gin', 'tidur', 'grgr', 'jam', 'klaim', 'vocer', 'kesbek', 'syopifud']",3,positive,1.0
35,2021-12-20 15:19:41+00:00,@kvchine mahal mending syopifud😩😩😩,mahal mending syopifud,mahal mending syopifud,mahal mending syopifud,"['mahal', 'mending', 'syopifud']",3,positive,1.0
36,2021-12-20 14:13:37+00:00,love you syopifud meskipun spay sering nyebelin https://t.co/uK6FsD1tG5,love you syopifud meskipun spay sering nyebelin,cinta you syopifud meskipun spay sering nyebelin,cinta you syopifud spay nyebelin,"['cinta', 'you', 'syopifud', 'spay', 'nyebelin']",-1,negative,0.0
37,2021-12-20 14:07:05+00:00,"Biasalah pesen syopifud suru taro pager kalo dah sampe, br kali inini mau ambil pesenan tp nihil. Dipager siapa u t… https://t.co/HbGlaQ3RPw",biasalah pesen syopifud suru taro pager kalo dah sampe br kali inini mau ambil pesenan tp nihil dipager siapa,biasalah pesan syopifud suru taro pager kalau sudah sampai baru kali inini mau ambil pesenan tapi nihil dipager siapa,biasalah pesan syopifud suru taro pager kali inini ambil pesenan nihil dipager,"['biasa', 'pesan', 'syopifud', 'suru', 'taro', 'pager', 'kali', 'inini', 'ambil', 'sen', 'nihil', 'dipager']",-5,negative,0.0
38,2021-12-20 13:07:25+00:00,"Semoga syopifud segera hadir dibanjar, promonya lumayan bgt soalnyaa",semoga syopifud segera hadir dibanjar promonya lumayan bgt soalnyaa,semoga syopifud segera hadir dibanjar promonya lumayan begitu soalnyaa,semoga syopifud hadir dibanjar promonya lumayan soalnyaa,"['moga', 'syopifud', 'hadir', 'banjar', 'promonya', 'lumayan', 'soalnyaa']",4,positive,1.0
39,2021-12-20 12:50:04+00:00,Ea pengalaman gak enak syopifud pun akhirnya gue rasain,ea pengalaman gak enak syopifud pun akhirnya gue rasain,ya pengalaman tidak enak syopifud pun akhirnya saya rasakan,pengalaman enak syopifud rasakan,"['alam', 'enak', 'syopifud', 'rasa']",5,positive,1.0
40,2021-12-20 11:25:28+00:00,"ujan gini emang paling enak tuh pelukan, di syopifud ada ga ya?",ujan gini emang paling enak tuh pelukan di syopifud ada ga ya,hujan begini memang paling enak  itu pelukan di syopifud ada tidak ya,hujan enak pelukan syopifud,"['hujan', 'enak', 'peluk', 'syopifud']",3,positive,1.0
41,2021-12-20 10:10:02+00:00,"@Prischilaa gue tinggal mesen syopifud aja dah ada lg yg baru mer yaampun, kenapa sii😭",gue tinggal mesen syopifud aja dah ada lg yg baru mer yaampun kenapa sii,saya tinggal  pesan syopifud aja sudah ada lagi yang baru mer yaampun kenapa sii,tinggal pesan syopifud mer yaampun sii,"['tinggal', 'pesan', 'syopifud', 'mer', 'yaampun', 'sii']",3,positive,1.0
42,2021-12-20 08:26:40+00:00,"@meetfuk dket rumah, tp cek aja tkonya di syopifud bizz steak dan burger dr cipto",dket rumah tp cek aja tkonya di syopifud bizz steak dan burger dr cipto,dket rumah tapi cek aja tkonya di syopifud bizz steak dan burger dari cipto,dket rumah cek tkonya syopifud bizz steak burger cipto,"['dket', 'rumah', 'cek', 'tkonya', 'syopifud', 'bizz', 'steak', 'burger', 'cipto']",-1,negative,0.0
43,2021-12-20 07:34:45+00:00,Guyss cona tolong saranin pesen apa yahh di syopifud???,guyss cona tolong saranin pesen apa yahh di syopifud,guyss cona tolong saranin pesan apa ya di syopifud,guyss cona tolong saranin pesan syopifud,"['guyss', 'cona', 'tolong', 'saranin', 'pesan', 'syopifud']",5,positive,1.0
44,2021-12-20 06:03:42+00:00,"@ashycla TEH ALLAHUAKBAR, ini konsepnya one tweet abang syopifud",teh allahuakbar ini konsepnya one tweet abang syopifud,teh allahuakbar ini konsepnya one tweet abang syopifud,teh allahuakbar konsepnya one tweet abang syopifud,"['teh', 'allahuakbar', 'konsep', 'one', 'tweet', 'abang', 'syopifud']",1,positive,1.0
45,2021-12-20 05:54:14+00:00,"@FOODFESS2 Salad kaliii.
Iya, aku jg cinta banget sampe pernah syopifud saladnya doang",salad kaliii iya aku jg cinta banget sampe pernah syopifud saladnya doang,salad kaliii iya saya juga cinta banget sampai pernah syopifud saladnya saja,salad kaliii iya cinta banget syopifud saladnya,"['salad', 'kaliii', 'iya', 'cinta', 'banget', 'syopifud', 'saladnya']",4,positive,1.0
46,2021-12-20 04:59:51+00:00,"@mbulanabul dulu blm ada syopifud, gofud, grabfud &amp; harbolnas ga tiap bln ky skrg 🥲",dulu blm ada syopifud gofud grabfud amp harbolnas ga tiap bln ky skrg,dulu belum ada syopifud gofud grabfud amp harbolnas tidak setiap bulan seperti sekarang,syopifud gofud grabfud harbolnas,"['syopifud', 'gofud', 'grabfud', 'harbolnas']",0,neutral,2.0
47,2021-12-20 04:57:13+00:00,"@deandrasu @alifmadani_ @septaAN_ terpantau syopifud aktif, monggo sedoyo",terpantau syopifud aktif monggo sedoyo,terpantau syopifud aktif silahkan sedoyo,terpantau syopifud aktif silahkan sedoyo,"['pantau', 'syopifud', 'aktif', 'silah', 'doyo']",7,positive,1.0
48,2021-12-20 04:07:35+00:00,"Nyebelin bgt udah mah dari semalem ga kebagian vocer potongan syopi, kena limit pula. Dahlah pesen syopifud aja",nyebelin bgt udah mah dari semalem ga kebagian vocer potongan syopi kena limit pula dahlah pesen syopifud aja,nyebelin begitu sudah mah dari semalem tidak kebagian vocer potongan syopi kena limit pula dahlah pesan syopifud aja,nyebelin mah semalem kebagian vocer potongan syopi kena limit dahlah pesan syopifud,"['nyebelin', 'mah', 'semalem', 'bagi', 'vocer', 'potong', 'syopi', 'kena', 'limit', 'dah', 'pesan', 'syopifud']",-8,negative,0.0
49,2021-12-20 03:54:49+00:00,@jajanbhlabels reusable cup sama magnet di tempatku masih bs di order via ojol/syopifud,reusable cup sama magnet di tempatku masih bs di order via ojolsyopifud,reusable cup sama magnet di tempatku masih bisa di order via ojolsyopifud,reusable cup magnet tempatku order via ojolsyopifud,"['reusable', 'cup', 'magnet', 'tempat', 'order', 'via', 'ojolsyopifud']",-3,negative,0.0
50,2021-12-20 03:25:13+00:00,Barusan laper mau jajan terus maksud hati mau top up ovo malah jadi top up syopi (udah lieur) terus pas mau top up… https://t.co/niM4Ia2ohJ,barusan laper mau jajan terus maksud hati mau top up ovo malah jadi top up syopi udah lieur terus pas mau top up,barusan laper mau jajan terus maksud hati mau mantap up ovo malah jadi mantap up syopi sudah lieur terus pas mau mantap up,barusan laper jajan maksud hati mantap up ovo mantap up syopi lieur pas mantap up,"['barusan', 'laper', 'jajan', 'maksud', 'hati', 'mantap', 'up', 'ovo', 'mantap', 'up', 'syopi', 'lieur', 'pas', 'mantap', 'up']",17,positive,1.0
51,2021-12-20 03:25:09+00:00,Syopifud ajalah,syopifud ajalah,syopifud ajalah,syopifud ajalah,"['syopifud', 'aja']",1,positive,1.0
52,2021-12-20 01:48:02+00:00,ya allah sedih bgt pesenan syopifud gue ketuker 😖😖,ya allah sedih bgt pesenan syopifud gue ketuker,ya allah sedih begitu pesenan syopifud saya ketuker,allah sedih pesenan syopifud ketuker,"['allah', 'sedih', 'sen', 'syopifud', 'ketuker']",0,neutral,2.0
53,2021-12-19 11:42:24+00:00,@azeliean yhhh kan mmang ad syopifud,yhhh kan mmang ad syopifud,yhhh kan mmang ada syopifud,yhhh mmang syopifud,"['yhhh', 'mmang', 'syopifud']",0,neutral,2.0
54,2021-12-19 11:41:55+00:00,@aedaannn laHhHh sjk kapan ad syopifud,lahhhh sjk kapan ad syopifud,lahhhh sejak kapan ada syopifud,lahhhh syopifud,"['lahhhh', 'syopifud']",0,neutral,2.0
55,2021-12-19 09:28:27+00:00,"Kan di Solo ngabisin duit doang, belom ada 5 menit dah mikir mau syopifud apa",kan di solo ngabisin duit doang belom ada menit dah mikir mau syopifud apa,kan di solo ngabisin uang saja belum ada menit sudah mikir mau syopifud apa,solo ngabisin uang menit mikir syopifud,"['solo', 'ngabisin', 'uang', 'menit', 'mikir', 'syopifud']",4,positive,1.0
56,2021-12-19 09:07:41+00:00,PLS LAPAR BANGET mau pesen syopifud ealah malah yg fi isi malah saldo gopay😭 nyari yg mau trade susah amat,pls lapar banget mau pesen syopifud ealah malah yg fi isi malah saldo gopay nyari yg mau trade susah amat,pls lapar banget mau pesan syopifud ealah malah yang fi isi malah saldo gopay mencari yang mau trade susah amat,pls lapar banget pesan syopifud ealah fi isi saldo gopay mencari trade susah,"['pls', 'lapar', 'banget', 'pesan', 'syopifud', 'ealah', 'fi', 'isi', 'saldo', 'gopay', 'cari', 'trade', 'susah']",-7,negative,0.0
57,2021-12-19 08:19:43+00:00,@dypooooooo Beli syopifud dptnya yg cakep2 apa nda rugi ya shopee,beli syopifud dptnya yg cakep apa nda rugi ya shopee,beli syopifud dptnya yang cakep apa tidak rugi ya shopee,beli syopifud dptnya cakep rugi shopee,"['beli', 'syopifud', 'dptnya', 'cakep', 'rugi', 'shopee']",2,positive,1.0
58,2021-12-19 06:55:32+00:00,"@GitaAmanda Besok2 nyoba deh, tengkyuu. ni lg pake syopifud terus 🥲🥲🥲",besok nyoba deh tengkyuu ni lg pake syopifud terus,besok nyoba deh tengkyuu ini lagi pakai syopifud terus,besok nyoba deh tengkyuu pakai syopifud,"['besok', 'nyoba', 'deh', 'tengkyuu', 'pakai', 'syopifud']",0,neutral,2.0
59,2021-12-19 06:25:39+00:00,@xenaloly Cus syopifud,cus syopifud,cus syopifud,cus syopifud,"['cus', 'syopifud']",0,neutral,2.0
60,2021-12-19 04:08:25+00:00,@HildeAdler Ntar malah jd syopifud,ntar malah jd syopifud,nantii malah jadi syopifud,nantii syopifud,"['nanti', 'syopifud']",-2,negative,0.0
61,2021-12-19 03:25:36+00:00,"Ketika ga ada cash, pdahal lg mau makan di deket2 sini aja tp males narik duit ke atm. Dah lah syopifud aja 😂😂",ketika ga ada cash pdahal lg mau makan di deket sini aja tp males narik duit ke atm dah lah syopifud aja,ketika tidak ada cash padahal lagi mau makan di dekat sini aja tapi malas  narik uang ke atm sudah lah syopifud aja,cash makan malas narik uang atm syopifud,"['cash', 'makan', 'malas', 'narik', 'uang', 'atm', 'syopifud']",-1,negative,0.0
62,2021-12-19 03:17:01+00:00,bangun tidur kuterus order kopsus yg diskonnya paling gede di syopifud,bangun tidur kuterus order kopsus yg diskonnya paling gede di syopifud,bangun tidur kuterus order kopsus yang diskonnya paling besar di syopifud,bangun tidur kuterus order kopsus diskonnya syopifud,"['bangun', 'tidur', 'terus', 'order', 'kopsus', 'diskon', 'syopifud']",5,positive,1.0
63,2021-12-19 02:49:19+00:00,"@FFOODFESS Kalo dari pengalaman temenku sih masaknya dari malem, trus paginya tinggal di angetin
Atau dari malem ud… https://t.co/ZFNNk4CsE8",kalo dari pengalaman temenku sih masaknya dari malem trus paginya tinggal di angetin atau dari malem ud,kalau dari pengalaman temenku sih masaknya dari malem terus paginya tinggal di angetin atau dari malem sudah,pengalaman temenku masaknya malem paginya tinggal angetin malem,"['alam', 'temenku', 'masak', 'malem', 'pagi', 'tinggal', 'angetin', 'malem']",4,positive,1.0
64,2021-12-19 02:35:58+00:00,abang syopifud ga ada yang jalan apa ya? dari semalem ga dapet driver terus,abang syopifud ga ada yang jalan apa ya dari semalem ga dapet driver terus,abang syopifud tidak ada yang jalan apa ya dari semalem tidak dapat driver terus,abang syopifud jalan semalem driver,"['abang', 'syopifud', 'jalan', 'semalem', 'driver']",0,neutral,2.0
65,2021-12-18 19:25:56+00:00,@inizali suka belibet pas ngomong syopifud jadi sofipud 🥲,suka belibet pas ngomong syopifud jadi sofipud,suka belibet pas bicara syopifud jadi sofipud,suka belibet pas bicara syopifud sofipud,"['suka', 'belibet', 'pas', 'bicara', 'syopifud', 'sofipud']",6,positive,1.0
66,2021-12-18 16:53:07+00:00,"@marknergy Kalo di rumah ada makanan mah dah dari tadi gue makan, seriuusss... pengen pesen syopifud juga ragu soal… https://t.co/pyTJhD7bUg",kalo di rumah ada makanan mah dah dari tadi gue makan seriuusss pengen pesen syopifud juga ragu soal,kalau di rumah ada makanan mah sudah dari tadi saya makan seriuusss ingin pesan syopifud juga ragu soal,rumah makanan mah makan seriuusss pesan syopifud ragu,"['rumah', 'makan', 'mah', 'makan', 'seriuusss', 'pesan', 'syopifud', 'ragu']",6,positive,1.0
67,2021-12-18 16:42:55+00:00,Bapak bapak syopifud lm bgt,bapak bapak syopifud lm bgt,bapak bapak syopifud lm begitu,syopifud lm,"['syopifud', 'lm']",0,neutral,2.0
68,2021-12-18 14:24:17+00:00,"@FOODFESS2 Pertama kali ngerasain sbux pesan di syopifud yg butterynut , enak
Selanjutnya malah beli kopi sachet sbux turki , mayan hemat 🤣",pertama kali ngerasain sbux pesan di syopifud yg butterynut enak selanjutnya malah beli kopi sachet sbux turki mayan hemat,pertama kali merasakan sbux pesan di syopifud yang butterynut enak selanjutnya malah beli kopi sachet sbux turki mayan hemat,kali merasakan sbux pesan syopifud butterynut enak beli kopi sachet sbux turki mayan hemat,"['kali', 'rasa', 'sbux', 'pesan', 'syopifud', 'butterynut', 'enak', 'beli', 'kopi', 'sachet', 'sbux', 'turki', 'mayan', 'hemat']",11,positive,1.0
69,2021-12-18 12:28:25+00:00,"Laper bgt
Akhirnya perdana nyobain syopifud
Lumayan bgttt diskonnya cyinnn
😊 https://t.co/mgARHMK0al",laper bgt akhirnya perdana nyobain syopifud lumayan bgttt diskonnya cyinnn,laper begitu akhirnya perdana nyobain syopifud lumayan bgttt diskonnya cyinnn,laper perdana nyobain syopifud lumayan bgttt diskonnya cyinnn,"['laper', 'perdana', 'nyobain', 'syopifud', 'lumayan', 'bgttt', 'diskon', 'cyinnn']",0,neutral,2.0
70,2021-12-18 12:23:51+00:00,"@ladyincrypto beli maem di syopifud kak inez, laper blm mam :(",beli maem di syopifud kak inez laper blm mam,beli makan di syopifud kak inez laper belum mam,beli makan syopifud kak inez laper mam,"['beli', 'makan', 'syopifud', 'kak', 'inez', 'laper', 'mam']",-5,negative,0.0
71,2021-12-18 11:57:35+00:00,"@enhiypain belomm, lagi nunggu abang2 syopifud",belomm lagi nunggu abang syopifud,belomm lagi nunggu abang syopifud,belomm nunggu abang syopifud,"['belomm', 'nunggu', 'abang', 'syopifud']",1,positive,1.0
