Created_At,Tweets,Clean_Data,Tweet_Normal,Tanpa_StopWords,Tokenizing,Stemming,Bobot,Label,Sentimen
2021-11-20 08:49:27+00:00,@tomatkentanggg Wkwk oke ntar tak cobanya prel. Ada promoan kayak shopeefood gt gaa?,wkwk oke ntar tak cobanya prel ada promoan kayak shopeefood gt gaa,wkwk oke nantii tidak cobanya prel ada promoan seperti shopeefood begitu gaa,wkwk oke nantii cobanya prel promoan shopeefood gaa,"['wkwk', 'oke', 'nantii', 'cobanya', 'prel', 'promoan', 'shopeefood', 'gaa']",wkwk oke nanti coba prel promoan shopeefood gaa,2,positif,1.0
2021-11-20 08:43:16+00:00,@kopiisop blm ada shopeefood di sini,blm ada shopeefood di sini,belum ada shopeefood di sini,shopeefood,['shopeefood'],shopeefood,0,netral,2.0
2021-11-20 08:41:53+00:00,"BEAR BOBBA LOWOKWARU

Boba Brown Sugar 13K #BigCup22oz
50% Disc #GrabFood #GoFood

https://t.co/6fplAdGVlD

#InfoKulinerMalang
#LaporLaper
#KulinerHitsMalang
#MalangCulinary
#MalangKuliner
#BobaMalang
#KopiMalang 
#EsTehMalang
#MojitoMalang
#Grab
#GoJek
#Shopee
#ShopeeFood
#BTS https://t.co/0KVk2hfrss",bear bobba lowokwaru boba brown sugar k disc,bear bobba lowokwaru boba brown sugar ke disc,bear bobba lowokwaru boba brown sugar disc,"['bear', 'bobba', 'lowokwaru', 'boba', 'brown', 'sugar', 'disc']",bear bobba lowokwaru boba brown sugar disc,0,netral,2.0
2021-11-20 08:38:00+00:00,@ShopeeID Wkwk min bagi shopeepay 1 yuta buat jajan shopeefood 🤣🤩🥺🤣,wkwk min bagi shopeepay yuta buat jajan shopeefood,wkwk minimal bagi shopeepay yuta buat jajan shopeefood,wkwk minimal shopeepay yuta jajan shopeefood,"['wkwk', 'minimal', 'shopeepay', 'yuta', 'jajan', 'shopeefood']",wkwk minimal shopeepay yuta jajan shopeefood,-3,negatif,0.0
2021-11-20 08:35:53+00:00,Saldo shopeepay 30K bisa dibeliin shopeefood apa di kota km?,saldo shopeepay k bisa dibeliin shopeefood apa di kota km,saldo shopeepay ke bisa dibeliin shopeefood apa di kota kamu,saldo shopeepay dibeliin shopeefood kota,"['saldo', 'shopeepay', 'dibeliin', 'shopeefood', 'kota']",saldo shopeepay dibeliin shopeefood kota,0,netral,2.0
2021-11-20 08:35:45+00:00,"Pakai jas hujan aja kaya abang grab.
Abang grab aja hujan badai banjir juga pantang menyerah....
Abang driver grabfood,gofood dan shopeefood lebih keren daripada kalian ternyata😆😆😆 https://t.co/aFWm45ecoC",pakai jas hujan aja kaya abang grab abang grab aja hujan badai banjir juga pantang menyerah abang driver grabfoodgofood dan shopeefood lebih keren daripada kalian ternyata,pakai jas hujan aja seperti abang grab abang grab aja hujan badai banjir juga pantang menyerah abang driver grabfoodgofood dan shopeefood lebih keren daripada kalian ternyata,pakai jas hujan abang grab abang grab hujan badai banjir pantang menyerah abang driver grabfoodgofood shopeefood keren,"['pakai', 'jas', 'hujan', 'abang', 'grab', 'abang', 'grab', 'hujan', 'badai', 'banjir', 'pantang', 'menyerah', 'abang', 'driver', 'grabfoodgofood', 'shopeefood', 'keren']",pakai jas hujan abang grab abang grab hujan badai banjir pantang serah abang driver grabfoodgofood shopeefood keren,0,netral,2.0
2021-11-20 08:34:41+00:00,"Min @ShopeeID @shopeefood_id tolong cek semua driver yg mendaftarkan KK-nya ada yg bernama bayi tersebut tidak, jika tidak ada kerahkan korlap2 kita bantu lacak siapa orang tuanya. Thanks min, happy weekend! https://t.co/uV4i6Khpz9",min id tolong cek semua driver yg mendaftarkan kknya ada yg bernama bayi tersebut tidak jika tidak ada kerahkan korlap kita bantu lacak siapa orang tuanya thanks min happy weekend,minimal id tolong cek semua driver yang mendaftarkan kknya ada yang bernama bayi tersebut tidak jika tidak ada kerahkan korlap kita bantu lacak siapa orang tuanya thanks minimal gembira weekend,minimal id tolong cek driver mendaftarkan kknya bernama bayi kerahkan korlap bantu lacak orang tuanya thanks minimal gembira weekend,"['minimal', 'id', 'tolong', 'cek', 'driver', 'mendaftarkan', 'kknya', 'bernama', 'bayi', 'kerahkan', 'korlap', 'bantu', 'lacak', 'orang', 'tuanya', 'thanks', 'minimal', 'gembira', 'weekend']",minimal id tolong cek driver daftar kknya nama bayi kerah korlap bantu lacak orang tua thanks minimal gembira weekend,-2,negatif,0.0
2021-11-20 08:32:58+00:00,"Nak beli makanan dekat shopeefood, Tapi Banyak fast food, nak makan apa ni",nak beli makanan dekat shopeefood tapi banyak fast food nak makan apa ni,nak beli makanan dekat shopeefood tapi banyak fast food nak makan apa ini,nak beli makanan shopeefood fast food nak makan,"['nak', 'beli', 'makanan', 'shopeefood', 'fast', 'food', 'nak', 'makan']",nak beli makan shopeefood fast food nak makan,4,positif,1.0
2021-11-20 08:30:25+00:00,"Order yuk 
banyak diskonnya lho
di
GoFood &amp;
GrabFood &amp;
Shopeefood
ketik Bakul Mimi
Tetap Yang Terbaik
TERIMA PESANAN NASI BOX
DAN PAKET JUMAT BERKAH
HUB : 088211637675
INSYAALLAH BERKAH https://t.co/XOQEiK6xVq",order yuk banyak diskonnya lho di gofood amp grabfood amp shopeefood ketik bakul mimi tetap yang terbaik terima pesanan nasi box dan paket jumat berkah hub insyaallah berkah,order yuk banyak diskonnya lho di gofood amp grabfood amp shopeefood ketik bakul mimi tetap yang terbaik terima pesanan nasi box dan paket jumat berkah hubungan insyaa allah berkah,order yuk diskonnya lho gofood grabfood shopeefood ketik bakul mimi terbaik terima pesanan nasi box paket jumat berkah hubungan insyaa allah berkah,"['order', 'yuk', 'diskonnya', 'lho', 'gofood', 'grabfood', 'shopeefood', 'ketik', 'bakul', 'mimi', 'terbaik', 'terima', 'pesanan', 'nasi', 'box', 'paket', 'jumat', 'berkah', 'hubungan', 'insyaa', 'allah', 'berkah']",order yuk diskon lho gofood grabfood shopeefood ketik bakul mimi baik terima pesan nasi box paket jumat berkah hubung insyaa allah berkah,35,positif,1.0
2021-11-20 08:29:29+00:00,"Order yuk 
banyak diskonnya lho
di
GoFood &amp;
GrabFood &amp;
Shopeefood
ketik Bakul Mimi
Tetap Yang Terbaik
TERIMA PESANAN NASI BOX
DAN PAKET JUMAT BERKAH
HUB : 088211637675
INSYAALLAH BERKAH https://t.co/ZeNulDtOPQ",order yuk banyak diskonnya lho di gofood amp grabfood amp shopeefood ketik bakul mimi tetap yang terbaik terima pesanan nasi box dan paket jumat berkah hub insyaallah berkah,order yuk banyak diskonnya lho di gofood amp grabfood amp shopeefood ketik bakul mimi tetap yang terbaik terima pesanan nasi box dan paket jumat berkah hubungan insyaa allah berkah,order yuk diskonnya lho gofood grabfood shopeefood ketik bakul mimi terbaik terima pesanan nasi box paket jumat berkah hubungan insyaa allah berkah,"['order', 'yuk', 'diskonnya', 'lho', 'gofood', 'grabfood', 'shopeefood', 'ketik', 'bakul', 'mimi', 'terbaik', 'terima', 'pesanan', 'nasi', 'box', 'paket', 'jumat', 'berkah', 'hubungan', 'insyaa', 'allah', 'berkah']",order yuk diskon lho gofood grabfood shopeefood ketik bakul mimi baik terima pesan nasi box paket jumat berkah hubung insyaa allah berkah,35,positif,1.0
2021-11-20 08:22:06+00:00,ShopeeFood ni app baru ke boleh guna app Shopee yg sama?,shopeefood ni app baru ke boleh guna app shopee yg sama,shopeefood ini aplikasi baru ke boleh guna aplikasi shopee yang sama,shopeefood aplikasi aplikasi shopee,"['shopeefood', 'aplikasi', 'aplikasi', 'shopee']",shopeefood aplikasi aplikasi shopee,-8,negatif,0.0
2021-11-20 08:19:05+00:00,@vanillalatt6e Aku baru tau barusan di domku ada shopeefood masa 😭😭,aku baru tau barusan di domku ada shopeefood masa,saya baru tahu barusan di domku ada shopeefood masa,barusan domku shopeefood,"['barusan', 'domku', 'shopeefood']",barusan dom shopeefood,0,netral,2.0
2021-11-20 08:10:39+00:00,@shopeefood_id-date seru nih kayanya malming tar.. cuman ya gmn ya 😅,iddate seru nih kayanya malming tar cuman ya gmn ya,iddate seru ini sepertinya malming nanti cuman ya bagaimana ya,iddate seru malming cuman,"['iddate', 'seru', 'malming', 'cuman']",iddate seru malming cuman,5,positif,1.0
2021-11-20 08:00:55+00:00,@kuchengjantan Aku blm pernah mam ini jg hahahahaha 😂 dimana ada gituaaann di shopeefood ga ada td aku cari,aku blm pernah mam ini jg hahahahaha dimana ada gituaaann di shopeefood ga ada td aku cari,saya belum pernah mam ini juga hahahahaha dimana ada gituaaann di shopeefood tidak ada td saya cari,mam hahahahaha dimana gituaaann shopeefood td cari,"['mam', 'hahahahaha', 'dimana', 'gituaaann', 'shopeefood', 'td', 'cari']",mam hahahahaha mana gituaaann shopeefood td cari,-8,negatif,0.0
2021-11-20 07:52:26+00:00,"@goldensseuregi Hi Kak @goldensseuregi maaf atas kendala nya, utk pesanan ShopeeFood kakak yg berkendala, yuk infoin SS ShopeePay yg sudah terpotong &amp; utk Nomor Pesanan nya ke DM mimin ya &amp; mimin sarankan Kakak bisa lakukan Clear Cache di aplikasi Shopee kakak. Mimin tunggu DM nya ya🙏^JN",hi kak maaf atas kendala nya utk pesanan shopeefood kakak yg berkendala yuk infoin ss shopeepay yg sudah terpotong amp utk nomor pesanan nya ke dm mimin ya amp mimin sarankan kakak bisa lakukan clear cache di aplikasi shopee kakak mimin tunggu dm nya yajn,hi kak maaf atas kendala nya untuk pesanan shopeefood kakak yang berkendala yuk infoin ss shopeepay yang sudah terpotong amp untuk nomor pesanan nya ke dm admin ya amp admin sarankan kakak bisa lakukan selesai cache di aplikasi shopee kakak admin tunggu dm nya yajn,hi kak maaf kendala pesanan shopeefood kakak berkendala yuk infoin ss shopeepay terpotong nomor pesanan dm admin admin sarankan kakak lakukan selesai cache aplikasi shopee kakak admin tunggu dm yajn,"['hi', 'kak', 'maaf', 'kendala', 'pesanan', 'shopeefood', 'kakak', 'berkendala', 'yuk', 'infoin', 'ss', 'shopeepay', 'terpotong', 'nomor', 'pesanan', 'dm', 'admin', 'admin', 'sarankan', 'kakak', 'lakukan', 'selesai', 'cache', 'aplikasi', 'shopee', 'kakak', 'admin', 'tunggu', 'dm', 'yajn']",hi kak maaf kendala pesan shopeefood kakak kendala yuk infoin ss shopeepay potong nomor pesan dm admin admin saran kakak laku selesai cache aplikasi shopee kakak admin tunggu dm yajn,10,positif,1.0
2021-11-20 07:48:48+00:00,"@mas_wahid17 @txtdarionlshop iya donggg ada shopeefood, gofood, grabfood 💃💃",wahid iya donggg ada shopeefood gofood grabfood,wahid iya donggg ada shopeefood gofood grabfood,wahid iya donggg shopeefood gofood grabfood,"['wahid', 'iya', 'donggg', 'shopeefood', 'gofood', 'grabfood']",wahid iya donggg shopeefood gofood grabfood,0,netral,2.0
2021-11-20 07:26:30+00:00,"@GGWDJJ Hi Kak, ada yg bisa mimin bantu terkait ShopeeFood? yuk infoin detail kendalanya ke mimin di dm, mimin tunggu yaa🙏 ^WA",hi kak ada yg bisa mimin bantu terkait shopeefood yuk infoin detail kendalanya ke mimin di dm mimin tunggu yaa wa,hi kak ada yang bisa admin bantu terkait shopeefood yuk infoin detail kendalanya ke admin di dm admin tunggu ya saya,hi kak admin bantu terkait shopeefood yuk infoin detail kendalanya admin dm admin tunggu,"['hi', 'kak', 'admin', 'bantu', 'terkait', 'shopeefood', 'yuk', 'infoin', 'detail', 'kendalanya', 'admin', 'dm', 'admin', 'tunggu']",hi kak admin bantu kait shopeefood yuk infoin detail kendala admin dm admin tunggu,12,positif,1.0
2021-11-20 07:25:37+00:00,"🧕🏻(liat ig andreadianbimo) badannya andrea sama bimo bagus bgt sih skg
🤵‍♂️iya olahraga terus 
🧕🏻yuk kita gitu juga 
🤵‍♂️gitu juga tapi shopeefood terus 
🧕🏻🥲",liat ig andreadianbimo badannya andrea sama bimo bagus bgt sih skg iya olahraga terus yuk kita gitu juga gitu juga tapi shopeefood terus,lihat ig andreadianbimo badannya andrea sama bimo bagus begitu sih sekarang iya olahraga terus yuk kita begitu juga begitu juga tapi shopeefood terus,lihat ig andreadianbimo badannya andrea bimo bagus iya olahraga yuk shopeefood,"['lihat', 'ig', 'andreadianbimo', 'badannya', 'andrea', 'bimo', 'bagus', 'iya', 'olahraga', 'yuk', 'shopeefood']",lihat ig andreadianbimo badan andrea bimo bagus iya olahraga yuk shopeefood,6,positif,1.0
2021-11-20 07:22:47+00:00,Pesen shopeefood udh sejam lbh kgk nyampe2 🙄,pesen shopeefood udh sejam lbh kgk nyampe,pesan shopeefood sudah sejam lebih tidak sampai,pesan shopeefood sejam,"['pesan', 'shopeefood', 'sejam']",pesan shopeefood jam,2,positif,1.0
2021-11-20 07:08:25+00:00,"Mau order semuanyaaa 😭menggoda selera😋👍
.
Yuk order Geprek Bensu, banyak banget promo yang bisa kamu nikmati loh🤩
.
Bisa datang ke outlet Geprek Bensu langsung atau order via Grabfood, Gofood, Shopeefood &amp; EatsbyTraveloka ya😉
.
#geprekbensu #senangprodukindonesia #opp https://t.co/EZL1s9siuT",mau order semuanyaaa menggoda selera yuk order geprek bensu banyak banget promo yang bisa kamu nikmati loh bisa datang ke outlet geprek bensu langsung atau order via grabfood gofood shopeefood amp eatsbytraveloka ya,mau order semuanyaaa menggoda selera yuk order geprek bensu banyak banget promo yang bisa kamu nikmati loh bisa datang ke outlet geprek bensu langsung atau order via grabfood gofood shopeefood amp eatsbytraveloka ya,order semuanyaaa menggoda selera yuk order geprek bensu banget promo nikmati outlet geprek bensu langsung order via grabfood gofood shopeefood eatsbytraveloka,"['order', 'semuanyaaa', 'menggoda', 'selera', 'yuk', 'order', 'geprek', 'bensu', 'banget', 'promo', 'nikmati', 'outlet', 'geprek', 'bensu', 'langsung', 'order', 'via', 'grabfood', 'gofood', 'shopeefood', 'eatsbytraveloka']",order semuanyaaa goda selera yuk order geprek bensu banget promo nikmat outlet geprek bensu langsung order via grabfood gofood shopeefood eatsbytraveloka,19,positif,1.0
2021-11-20 06:55:23+00:00,@FOODFESS2 Mixue ada ngga ya di grabfood? Kalo di gofood sama shopeefood adaa,mixue ada ngga ya di grabfood kalo di gofood sama shopeefood adaa,mixue ada tidak ya di grabfood kalau di gofood sama shopeefood adaa,mixue grabfood gofood shopeefood adaa,"['mixue', 'grabfood', 'gofood', 'shopeefood', 'adaa']",mixue grabfood gofood shopeefood adaa,0,netral,2.0
2021-11-20 06:51:35+00:00,drtd pesen grab/gofood/shopeefood ga ad yg nerima sama skali😭😭,drtd pesen grabgofoodshopeefood ga ad yg nerima sama skali,drtd pesan grabgofoodshopeefood tidak ada yang nerima sama sekali,drtd pesan grabgofoodshopeefood nerima,"['drtd', 'pesan', 'grabgofoodshopeefood', 'nerima']",drtd pesan grabgofoodshopeefood nerima,2,positif,1.0
